"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget","InterfaceEventTarget"
"DOM2","addEventListener()","5.0","No","1.0","Yes","Yes","1.0"
"DOM2","removeEventListener()","5.0","No","1.0","Yes","Yes","1.0"
"DOM2","dispatchEvent()","5.0","No","1.0","?","?","1.0"
"InterfaceEventListener","InterfaceEventListener","InterfaceEventListener","InterfaceEventListener","InterfaceEventListener","InterfaceEventListener","InterfaceEventListener","InterfaceEventListener"
"DOM2","handleEvent()","?","?","?","?","?","1.0"
"InterfaceEvent","InterfaceEvent","InterfaceEvent","InterfaceEvent","InterfaceEvent","InterfaceEvent","InterfaceEvent","InterfaceEvent"
"DOM2","type","4.0","Yes","1.0","?","?","1.0"
"DOM2","target","No","Yes","1.3","Incorrect","?","1.0"
"DOM2","No","currentTarget","No","1.0","?","?","1.0"
"DOM2","No","1.0","No","eventPhase","?","?","1.0"
"DOM2","No","1.0","No","bubbles","?","?","1.0"
"DOM2","No","1.0","No","cancelable","?","?","1.0"
"DOM2","No","No","timeStamp","Yes","?","?","1.0"
"DOM2","No","No","stopPropagation()","1.0","?","?","1.0"
"DOM2","1.0","No","No","preventDefault()","?","?","1.0"
"DOM2","1.0","No","No","initEvent()","?","?","1.0"
"ExceptionEventException","ExceptionEventException","ExceptionEventException","ExceptionEventException","ExceptionEventException","ExceptionEventException","ExceptionEventException","ExceptionEventException"
"DOM2","code","No","No","1.0","?","?","1.0"
"InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent","InterfaceDocumentEvent"
"DOM2","createEvent()","No","No","1.0","?","?","1.0"
"InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent","InterfaceUIEvent"
"DOM2","view","No","No","No","?","?","1.0"
"DOM2","detail","No","No","No","?","?","1.0"
"DOM2","initUIEvent()","No","No","No","?","?","1.0"
"EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent","EventsforinterfaceUIEvent"
"DOM2","DOMFocusIn","No","No","No","?","?","1.0"
"DOM2","DOMFocusOut","No","No","No","?","?","1.0"
"DOM2","DOMActivate","No","No","No","?","?","1.0"
"InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent","InterfaceMouseEvent"
"DOM2","screenX","4.0","Yes","1.0","Yes","?","1.0"
"DOM2","screenY","4.0","Yes","1.0","Yes","?","1.0"
"DOM2","clientX","4.0","Yes","1.0","Incorrect","?","1.0"
"DOM2","clientY","4.0","Yes","1.0","Incorrect","?","1.0"
"DOM2","ctrlKey","4.0","Yes","1.0","Yes","?","1.0"
"DOM2","Yes","shiftKey","4.0","Yes","1.0","?","1.0"
"DOM2","Yes","altKey","4.0","Yes","1.0","?","1.0"
"DOM2","Yes","metaKey","No","No","1.0","?","1.0"
"DOM2","button","Incorrect","Incorrect","1.0","Incorrect","?","1.0"
"DOM2","relatedTarget","No","No","1.0","Yes","?","1.0"
"DOM2","initMouseEvent()","?","?","1.0","1.0","?","?"
"EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent","EventsforinterfaceMouseEvent"
"DOM2","click","4.0","Yes","1.0","?","?","1.0"
"DOM2","mousedown","4.0","Yes","1.0","?","?","1.0"
"DOM2","mouseup","4.0","Yes","1.0","?","?","1.0"
"DOM2","mouseover","4.0","Yes","1.0","?","?","1.0"
"DOM2","mousemove","4.0","Yes","1.0","?","?","1.0"
"DOM2","mouseout","4.0","Yes","1.0","?","?","1.0"
"InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent","InterfaceMutationEvent"
"DOM2","relatedNode","No","No","1.0","?","?","1.0"
"DOM2","prevValue","No","No","1.0","?","?","1.0"
"DOM2","newValue","No","No","1.0","?","?","1.0"
"DOM2","attrName","No","No","1.0","?","?","1.0"
"DOM2","attrChange","No","No","1.0","?","?","1.0"
"DOM2","initMutationEvent","No","No","1.0","?","?","1.0"
"EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent","EventsforinterfaceMutationEvent"
"DOM2","DOMSubtreeModified","5.0","No","1.9","Yes","Partial","No"
"DOM2","DOMNodeInserted","5.0","No","1.0","Yes","No","1.0"
"DOM2","1.0","No","1.0","DOMNodeRemoved","5.0","No","Yes"
"DOM2","DOMNodeRemovedFromDocument","No","1.0","5.0","No","No","Yes"
"DOM2","No","DOMNodeInsertedIntoDocument","5.0","1.0","No","Yes","Yes"
"DOM2","DOMAttrModified","5.0","1.0","No","1.0","No","No"
"DOM2","1.0","DOMCharacterDataModified","No","5.0","1.0","No","Yes"
"EventsforHTML","EventsforHTML","EventsforHTML","EventsforHTML","EventsforHTML","EventsforHTML","EventsforHTML","EventsforHTML"
"DOM2","load","4.0","Yes","1.0","?","?","2.0"
"DOM2","unload","4.0","Yes","1.0","?","?","2.0"
"DOM2","abort","4.0","Yes","1.0","?","?","No"
"DOM2","error","4.0","Yes","1.0","?","?","2.0"
"DOM2","select","4.0","2.0","Yes","1.0","?","?"
"DOM2","change","4.0","2.0","Yes","1.0","?","?"
"DOM2","submit","4.0","2.0","Yes","1.0","?","?"
"DOM2","reset","4.0","2.0","Yes","1.0","?","?"
"DOM2","focus","4.0","2.0","Yes","1.0","?","?"
"DOM2","blur","4.0","2.0","Yes","1.0","?","?"
"DOM2","resize","4.0","2.0","Yes","1.0","?","?"
"DOM2","scroll","4.0","2.0","Yes","1.0","?","?"
