"","","MSHTML","EdgeHTML","Gecko","WebKit","Blink","KHTML","Presto"
"Colormode","Truecolor","3.1","Yes","1.0","85","Yes","Yes","1.0"
"Colormode","Grayscale","3.1","Yes","1.0","85","Yes","Yes","1.0"
"Colormode","Palette-based","3.1","Yes","1.0","85","Yes","Yes","1.0"
"Alphachannel","Alphachannel","3.1","Yes","1.0","85","Yes","Yes","1.0"
"Gammacorrection","Gammacorrection","5.0","Yes","3.5","Incorrect","?","No","Partial"
"Colorcorrection","Colorcorrection","5.0","Yes","1.9","?","?","?","No"
"Interlacing","Interlacing","Incorrect","?","1.0","?","?","4.0","1.0"
