"Filemanager","Symboliclinks","Windowslongpathsupport","Browsecompressedfolders","Slideshows","Showscombinedsizeofselecteddirectories","Branchsizes","Directorycompare","Synchronizer","Findasyoutype(Type-aheadfind)","Embedded/integratedterminal","Fordirectories,sizecolumnshows:"
"AltapSalamander","?","?","Yes","No","Yes","?","Yes","Partial(forremotefolders)","Yes","Yes","DIR"
"CommanderOne","Yes","?","Yes","No","Yes","?","No","No","Yes","Yes,inthePROPack","DIRandtotalsizeincludingsubdirectories"
"DirectoryOpus","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","DIRandtotalsizeincludingsubdirectories"
"Dired","?","?","Yes","No","No","?","?","?","Yes","Yes","Literal"
"DOSNavigator","No","?","Yes","No","Yes","?","Yes","?","Yes","Yes","Totalsizeincludingsubdirectories"
"Dolphin","Yes","?","Yes","No","Yes","No","No","No","Yes","Yes","Numberofentries"
"DoubleCommander","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","DIR"
"emelFM2","?","?","?","No","Yes","?","Yes","?","Yes","Yes","Literal"
"FARManager","Yes","?","Yes","Partial","Yes","Yes","Yes","Partial","Yes","Yes","?"
"FileCommander","?","?","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?"
"Files(Apple)","","?","","","","","","","","",""
"FilesbyGoogle","","?","","","","","","","","",""
"Finder","?","?","No","Yes","Yes","?","No","No","Yes","No","Yes"
"ForkLift","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","DIRandtotalsizeincludingsubdirectories"
"GNOMECommander","?","?","No","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Konqueror","Yes","?","Yes","Yes","Yes(withkonq-plugin)","Yes","Yes(withkdiff3plugin)","Yes(withkdiff3plugin)","Yes","Yes","Folderonlysize(default)selectabletofilecount/totalsize"
"Krusader","?","?","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"MidnightCommander","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","?"
"muCommander","No","?","?","?","?","?","?","Yes","?","Partial,commandexecutiononly","?"
"GNOMEFiles(Nautilus)","?","?","No","No","Yes","No","No","No","Yes","Yes,WithPlugin","Numberofentries"
"Nemo","?","?","?","?","?","?","?","?","?","Yes,withnemo-terminalextension"
"Nomad.NET","Yes","?","Yes","No","Yes","Yes","Yes","No","Yes","Yes,viaPlugin","DIRandtotalsizeincludingsubdirectories"
"PathFinder","?","?","No","Yes","Partial","?","No","No","Yes","Yes","Yes"
"PCManFM","?","?","Yes","No","Yes","Yes","No","?","Yes","No,butthereisaforkattempt","Nothing"
"ROX-Filer","?","?","No","No","Yes","?","No","?","Yes,andbrowsingwithtabcompletion","No","Nothing"
"Thunar","?","?","No","?","Yes","?","No","No","Yes","No","Literal*"
"TotalCommander","Yes","?","Yes","YesInplugin","Yes","Yes","Yes","Yes","Yes","Yes","DIRandtotalsizeincludingsubdirectories"
"WindowsExplorer","Partial","Partial","Yes","Yes","Yes(infoldertooltips)","Partial","No","Yes","Yes","No","?"
"XandrosFileManager","?","?","?","?","?","?","?","?","?","No","?"
"Xfe","Yes","?","No","No","Yes","?","Yes","?","No","No","?"
"Xfile","?","?","?","?","?","?","?","?","?","No","?"
"Xfm","?","?","?","?","?","?","?","?","?","No","?"
"xplorer²","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"XYplorer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Contentsincludingsubs"
"ZTreeWin","?","?","Yes","No","Yes","Yes","Yes","No","Yes","?","Selectable:numberofentriesorsize(optional:includingsubs)"
"Filemanager","Symboliclinks","Windowslongpathsupport","Browsecompressedfolders","Slideshows","Showscombinedsizeofselecteddirectories","Branchsizes","Directorycompare","Synchronizer","Findasyoutype(Type-aheadfind)","Embedded/integratedterminal","Fordirectories,sizecolumnshows:"
