"Country","Spacecraft(engine)","Power","Thrust","Specificimpulse","Year"
"Japan","ETS-IV(Unnamedteflonpulsedplasmathruster)","20W","","300s","1981"
"Japan","SpaceFlyerUnit(EPEX,magnetoplasmadynamicthruster)","430W","12.9mN","600s","1995"
"China","Dongfeng5ballisticrocket(MDT-2A,teflonpulsedplasmathruster)","5W","","280s","1981"
