"Model","Material","Color","Width","Height","Depth","Mass"
"MacMini","100%recycledaluminum","Silver","19.7cm=7.7in","3.6cm=1.4in","19.7cm=7.7in","1.2kg=2.6lb"
"MacMini(Intel)","100%recycledaluminum","SpaceGray","19.7cm=7.7in","3.6cm=1.4in","19.7cm=7.7in","1.3kg=2.9lb"
"iMac24in","Aluminum","Blue,Green,Red,Silver,Yellow,Orange,orPurple;whiteborderaroundscreen","54.7cm=21.5in","46.1cm=18.1in","14.7cm=5.8in","4.46-4.48kg=9.83-9.88lb"
"MacStudio","Aluminum","Silver","19.7cm=7.7in","9.5cm=3.7in","19.7cm=7.7in","2.7kg=5.9lb"
"MacProTower","Aluminumandstainlesssteel","Silver","45.0cm=17.7in","52.9cm=20.8in","45.0cm=17.7in","18.0kg=39.7lb"
"MacProRack","Aluminumandstainlesssteel","Silver","53.95cm=21.24in","52.9cm=8.67in","106.68cm=42.0in","17.6kg=38.8lb"
"MacBookAir","100%recycledaluminum","Silver,Gold,orSpaceGray","30.41cm=11.97in","0.41-1.61cm=0.16-0.63in","21.24cm=8.36in","1.29kg=2.8lb"
"MacBookPro13""","Aluminum","SilverorSpaceGray","30.41cm=11.97in","1.56cm=0.61in","21.24cm=8.36in","1.4kg=3.0lb"
"MacBookPro14""","Aluminum","SilverorSpaceGray","1.56cm=0.61in","31.26cm=12.31in","22.12cm=8.70in","1.6kg=3.5lb"
"MacBookPro16""","Aluminum","SilverorSpaceGray","35.57cm=14.00in","1.68cm=0.66in","24.81cm=9.77in","2.1kg=4.6lb"
