"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Core","Fillrate","Processingpower(GFLOPS)","Memory","TBP","Businterface"
"Model(Codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TBP","Businterface","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonR5430(OlandPro)","June2016OEM","GCN1gen28nm","1040×1090mm","384:24:86CU","730780","17.5218.72","5.846.24","560599","37.440","DDR3GDDR5128-bit","12","18004500","28.872","50W","PCIe3.0×8"
"RadeonR5435(Oland)","June2016OEM","GCN1gen28nm","1040×1090mm","320:20:85CU","1030","20.6","8.24","659","41.2","DDR364-bit","2","2000","16","50W","PCIe3.0×8"
"RadeonR7430(OlandPro)","June2016OEM","GCN1gen28nm","1040×1090mm","384:24:86CU","730780","17.5218.72","5.846.24","560599","37.440","DDR3GDDR5128-bit","124","18004500","28.872","50W","PCIe3.0×8"
"RadeonR7435(Oland)","June2016OEM","GCN1gen28nm","1040×1090mm","320:20:85CU","920","18.4","7.36","589","36.8","DDR364-bit","2","2000","16","50W","PCIe3.0×8"
"RadeonR7450(CapeVerdePro)","June2016OEM","GCN1gen28nm","1500×10123mm","512:32:168CU","1050","33.6","16.8","1075","65.2","GDDR5128-bit","2","4500","72","65W","PCIe3.0×16"
"RadeonRX455(BonairePro)","June2016OEM","GCN2gen28nm","2080×10160mm","768:48:1612CU","1050","50.4","16.8","1613","100.8","GDDR5128-bit","2","6500","104","PCIe3.0×16","100W"
"RadeonRX460(Baffin)","August2016$109USD(2GB)$139USD(4GB)","GCN4genSamsung/GloFo14LPP","3000×10123mm","896:56:1614CU","10901200","6167.2","17.419.2","19532150","122132","GDDR5128-bit","24","7000","112","<75W","PCIe3.0×8"
"RadeonRX470D(Ellesmere)","October2016CNY¥1299(ChinaOnly)","GCN4genSamsung/GloFo14LPP","5700×10232mm","1792:112:3228CU","9261206","103.7135.1","29.638.6","33194322","207270","GDDR5256-bit","4","7000","224","120W","PCIe3.0×16"
"RadeonRX470(EllesmerePro)","August2016$179USD","5700×10232mm","GCN4genSamsung/GloFo14LPP","2048:128:3232CU","9261206","118.5154.4","29.638.6","37934940","237309","GDDR5256-bit","48","6600","211","PCIe3.0×16","120W"
"RadeonRX480(EllesmereXT)","June2016$199USD(4GB)$239USD(8GB)","5700×10232mm","GCN4genSamsung/GloFo14LPP","2304:144:3236CU","11201266","161.3182.3","35.840.5","51615834","323365","GDDR5256-bit","48","70008000","224256","PCIe3.0×16","150W"
