"Assembler","Developer","Operatingsystem","FOSS","License","Developmentactive"
"MicrosoftMACRO-80","Microsoft","CP/M,ISIS-II,TRSDOS,TEKDOS,MSX-DOS","No","Commercial","No"
"ZeusAssembler","CrystalComputing","","No","Commercial","No"
"z80asm","","Unix-like,Windows","Yes","GNUGPL","No"
"sjasmplus","","Unix-like,Windows","Yes","BSD","Yes"
