"Audioplayer","HTTP","RTSP(RTSPU,RTSPT)","MMS(MMSU,MMST)","Podcasting","Other"
"AIMP","Yes","No","Yes","No","No"
"Amarok","Yes","Yes","Yes","Yes","UPNP"
"Audacious","Yes","No","Yes","No","?"
"Audion","Yes","No","No","No","?"
"cmus","Yes","No","No","No","?"
"Cog","No","No","No","No","?"
"foobar2000","Yes","Partial","Yes","Partial","?"
"JuK","?","?","?","?","?"
"JRiverMediaCenter","Yes","Yes","Yes","Yes","?"
"MediaMonkey","Yes","No","No","Yes","?"
"MusicBee","Yes","?","?","Yes","?"
"MusicmatchJukebox","Yes","?","?","?","?"
"musikCube","Yes","No","No","?","?"
"MusicPlayerDaemon","Yes","Yes","Yes","Yes","MusicPlayerDaemon"
"Rhapsody","Yes","Yes","Yes","Yes","?"
"Rhythmbox","Yes","Yes","No","Partial","UPNP"
"SayonaraPlayer","Yes","?","?","?","?"
"Sonique","Yes","?","?","?","?"
"XMMS","Yes","?","?","?","?"
"Zinf","Yes","Yes","No","No","?"
"Audioplayer","HTTP","RTSP(RTSPU,RTSPT)","MMS(MMSU,MMST)","Podcasting","Other"
