"Model(codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Core","Fillrate","Processingpower(GFLOPS)","Memory","Memory","Memory","Processingpower(GFLOPS)","Core","Fillrate","Processingpower(GFLOPS)","Memory","TBP","Businterface"
"Model(codename)","ReleaseDate&Price","Architecture&Fab","Transistors&DieSize","Config","Clock(MHz)","Texture(GT/s)","Pixel(GP/s)","TBP","Businterface","Half","Single","Double","Bustype&width","Size(GiB)","Clock(MT/s)","Bandwidth(GB/s)"
"RadeonRXVega56(Vega10XL)","August28,2017$399USD","GCN5genSamsung/GloFo14LPP","12.5×10486mm","3584:224:6456CU","11561471","258.9329.5","74.094.1","1657221088","828610544","518659","HBM22048-bit","8","1600","410","210W","PCIe3.0×16"
"RadeonRXVega64(Vega10XT)","August14,2017$499USD","GCN5genSamsung/GloFo14LPP","12.5×10486mm","4096:256:6464CU","12471546","319.2395.8","79.898.9","2043125330","1021512665","638792","HBM22048-bit","8","1890","483.8","295W","PCIe3.0×16"
"RadeonRXVega64Liquid(Vega10XT)","August14,2017$699USD","4096:256:6464CU","GCN5genSamsung/GloFo14LPP","12.5×10486mm","14061677","359.9429.3","90.0107.3","2303627476","1890","483.8","1151813738","720859","345W","HBM22048-bit","8","PCIe3.0×16"
