"Implementation","Namespace","Buildtools","APImanual","Cryptoback-end","OpenSSLcompatibilityLayer"
"Botan","Botan::TLS","Makefile","Sphinx","Included(pluggable)","No"
"BouncyCastle","org.bouncycastle","JavaDevelopmentEnvironment","Programmersreferencemanual(PDF)","Included(pluggable)","No"
"BSAFESSL-J","com.rsa.asn1com.rsa.certjcom.rsa.jcpcom.rsa.jsafecom.rsa.sslcom.rsa.jsse","Javaclassloader","Javadoc,Developer'sguide(HTML)","Included","No"
"cryptlib","crypt*","makefile,MSVCprojectworkspaces","Programmersreferencemanual(PDF),architecturedesignmanual(PDF)","Included(monolithic)","No"
"GnuTLS","gnutls_*","Autoconf,automake,libtool","ManualandAPIreference(HTML,PDF)","External,libnettle","Yes(limited)"
"JSSE","javax.net.sslsun.security.ssl","Makefile","APIReference(HTML)+JSSEReferenceGuide","JavaCryptographyArchitecture,JavaCryptographyExtension","No"
"MatrixSSL","matrixSsl_*ps*","Makefile,MSVCprojectworkspaces,XcodeprojectsforOSXandiOS","APIReference(PDF),IntegrationGuide","Included(pluggable)","Yes(Subset:SSL_read,SSL_write,etc.)"
"MbedTLS","mbedtls_ssl_*mbedtls_sha1_*mbedtls_md5_*mbedtls_x509*...","Makefile,CMake,MSVCprojectworkspaces,yotta","APIReference+HighLevelandModuleLevelDocumentation(HTML)","Included(monolithic)","No"
"NSS","CERT_*SEC_*SECKEY_*NSS_*PK11_*SSL_*...","Makefile","Manual(HTML)","Included,PKCS#11based","Yes(separatepackagecallednss_compat_ossl)"
"OpenSSL","SSL_*SHA1_*MD5_*EVP_*...","Makefile","Manpages","Included(monolithic)","N/A"
"wolfSSL","wolfSSL_*CyaSSL_*SSL_*","Autoconf,automake,libtool,MSVCprojectworkspaces,XCodeprojects,CodeWarriorprojects,MPLABXprojects,Keil,IAR,Clang,GCC,e2Studio","ManualandAPIReference(HTML,PDF)","Included(monolithic)","Yes(about60%ofAPI)"
"Implementation","Namespace","Buildtools","APImanual","Cryptoback-end","OpenSSLcompatibilitylayer"
