"Driver","Chipset","Integration","Freefirmware","License","Original/Primarydeveloper","Development","Freesoftware"
"acx","TexasInstrumentsACX100/ACX111","Integrated","No","BSD","PortedfromDragonFlyBSD","Reverseengineering","Yes"
"an","Aironet4500/4800,CiscoAironet340/350","Integrated","N/A","BSD","","","Yes"
"ath","AtherosAR5210/AR5211/AR5212","Integrated","N/A","BSD","","Reverseengineering","Yes"
"athn","AtherosAR5416/AR9160/AR928X","Integrated(since4.7)","Yes","BSD","DamienBergamini","Partlybasedontheath9kdriverforLinux","Yes"
"atu","AtmelAT76C503/AT76C503A/AT76C505/AT76C505A","Integrated","Yes","BSD","","Reverseengineering","Yes"
"atw","ADMtekADM8211","Integrated","N/A","BSD","","Documentationbased","Yes"
"awi","BayStack650","2.7to4.3","N/A","BSD","","","Yes"
"bwi","BroadcomBCM430x/4318","Integrated","No","BSD","SepherosaZiehau","PortedfromDragonFlyBSD","Yes"
"cnw","NetWaveAirSurfer","2.6to6.0","N/A","BSD","","","Yes"
"ipw","IntelPRO/Wireless2100","Integrated","No","BSD","DamienBergamini","Reverseengineering","Yes"
"iwi","IntelPRO/Wireless2200BG/2225BG/2915ABG","Integrated","No","BSD","DamienBergamini","Reverseengineering","Yes"
"iwn","IntelWirelessWiFiLink4965/5000/1000/6000","Integrated","No","BSD","DamienBergamini","Reverseengineering","Yes"
"iwm","IntelWirelessWiFiLink3160ac/7260ac/7265ac","Integrated(since5.8)","No","BSD","AnttiKantee,StefanSperling","Basedoniwn,andiwlwifidriverreleasedbyIntelforLinuxunderdualGPLv2/BSDlicense","Yes"
"malo","Marvell88W8335/88W8310","Integrated","No","BSD","MarcusGlockerandClaudioJeker","Reverseengineering","Yes"
"otus","AtherosAR9170","Integrated(since4.6)","No","BSD","DamienBergamini","BasedonsourcecodereleasedbyAtherosforLinuxundertheISC","Yes"
"pgt","Conexant/IntersilPrismGTFull-MACISL3877,ISL3880,andISL3890chips","Integrated","No","BSD","PortedfromFreeBSD","Reverseengineering","Yes"
"ral/ural","RalinkRT2500,RT2501,RT2600,RT2700,RT2800,RT3090,RT3292,RT3592andRT5390(ral),RT2500USB(ural)","Integrated","Yes","BSD","DamienBergamini","Documentationbased","Yes"
"ray","RaytheonRaylink/WebGearAviatorIEEE802.11FH","2.7to5.4","N/A","BSD","","","Yes"
"rsu","RealtekRTL8188SU/RTL8191SU/RTL8192SU","Integrated(since4.9)","No","BSD","DamienBergamini","Reverseengineering","Yes"
"rtw","RealtekRTL8180L","Integrated","N/A","BSD","PortedfromNetBSD","Documentationbased","Yes"
"rtwn","RealtekRTL8188CE/RTL8192CE","Integrated","No","BSD","StefanSperling","Basedonurtwndriver.","Yes"
"rum","RalinkRT2501USB/RT2601USB","Integrated","Yes","BSD","NiallO'HigginsandDamienBergamini","Documentationbased","Yes"
"run","RalinkRT2700U/RT2800U/RT3000U","Integrated","Yes","BSD","DamienBergamini","Documentationbased","Yes"
"uath","AtherosAR5005UG/AR5005UX","Integrated","No","BSD","DamienBergamini","ReverseEngineering","Yes"
"upgt","GW3887(Conexant/IntersilPrismGTseries)","Integrated","No","BSD","MarcusGlocker","Reverseengineering","Yes"
"urtw","RealtekRTL8187L","Integrated","N/A","BSD","WeongyoJeong(FreeBSD)","?","Yes"
"urtwn","RealtekRTL8188CU/RTL8192CU","Integrated(since4.9)","No","BSD","DamienBergamini","Reverseengineering","Yes"
"wi","LucentHermes(WaveLAN/ORiNOCO);IntersilPRISM-2,PRISM-2.5,PRISM-3;SymbolSpectrum24","Integrated","YesforSpectrum24andN/Aforothers","BSD","BillPaul","Documentationbased","Yes"
"wpi","IntelPRO/Wireless3945ABG","Integrated","No","BSD","DamienBergamini","Reverseengineering","Yes"
"zyd","ZyDASZD1211/ZD1211B","Integrated","Yes","BSD","FlorianStoehr,DamienBergamini,andJonathanGray","Documentationbased","Yes"
