"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm²)","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"GeForce2MXIGP+nForce220/420","June4,2001","NV1A(IGP)/NV11(MX)","TSMC180nm","20","64","FSB","175","133","2:4:2","350","350","700","0","Upto32systemRAM","2.1284.256","DDR","64128"
"GeForce2MX200","March3,2001","NV1A(IGP)/NV11(MX)","TSMC180nm","20","64","AGP4x,PCI","175","166","2:4:2","350","350","700","0","3264","1.328","SDR","64"
"GeForce2MX","June28,2000","AGP4x,PCI","166","3264","NV1A(IGP)/NV11(MX)","SDR","TSMC180nm","20","64","2.656","175","128","2:4:2","350","350","700","0"
"GeForce2MX400","March3,2001","AGP4x,PCI","NV1A(IGP)/NV11(MX)","3264","TSMC180nm","20","64","200","166,200(SDR)166(DDR)","400","2:4:2","400","800","2.656,3.200","0","SDRDDR","128(SDR)64(DDR)"
"GeForce2GTS","April26,2000","200","NV15","TSMC180nm","3264","25","88","AGP4x","166","4:8:4","800","800","1600","5.312","0","DDR","128"
"GeForce2Pro","December5,2000","NV15","25","88","AGP4x","200","4:8:4","800","800","1600","200","DDR","128","TSMC180nm","3264","6.4","0"
"GeForce2Ti","October1,2001","200","6.4","NV15","25","88","AGP4x","TSMC150nm","4:8:4","250","3264","1000","1000","DDR","128","2000","0"
"GeForce2Ultra","August14,2000","NV16","250","1000","1000","2000","TSMC180nm","","AGP4x","","4:8:4","230","64","7.36","0","DDR","128"
