"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Defaultwebbrowser/engine","Blink","WebKit","WebKit","Gecko","QtWebEngine(basedonBlink)"
"Majorwebbrowsersavailable","ChromeforAndroid,Opera,Firefox,MicrosoftEdge,SamsungInternet","Safari,ChromeforiOS,OperaTouch,Firefox,MicrosoftEdge","TizenBrowser(BasedonUCBrowser)","SailfishBrowser(Gecko),Webcat(WebKit),WebPirate(WebKit),othersviaAndroid(Firefox,Chrome,Opera)","MorphBrowser"
"Browsercanuseitsownengine","Yes","No","Yes","Yes","Yes"
"Browserextensions","No3rdpartysoftware","8+","No","No","No"
"BrowserdirectInternetconnection(increasedresiliencetooutages)","Yes","Yes","Yes","?","?"
"Browserundoclosetab","GoogleChromeforAndroid","8+","No","No","No"
"Browserkeepswindowsopenonshutdownorcrash","2.3+GoogleChromebutnotonthedeprecatedAOSPbrowser","Yes","No","Yes","Yes"
"Browserkeepswindowsopenwhencleaningcookies","Yes","3rdpartysoftware","?","Yes","Yes"
"Browsersearchengineoptions","Many","Bing,Google,Yahoo!Search,DuckDuckGo,Ecosia","Bing,Google,Yahoo!Search","Bing,Google,Yahoo,Yandex.Baidu,DuckDuckGo,StartPage,Searx,ixquick,Swisscows,Qwant,Seznam,Hulbeeviaopenrepos","Baidu,Bing,DuckDuckGo,Ecosia,Google,lilo,Peekier,Qwant,Wikipedia,Yahoo"
"Browserfindonpage","1.5+","Yes","Yes","1.1.2+","Yes"
"Browser–emailsaveimages","Yes","Yes","?","Yes","Yes"
"Browser–emailsavePDFs","Yes","Yes","Yes","Yes","Yes"
"Browsersaveaudio/video","Yes,butonlylinks,notembeddedmedia","13+;5+:3rdpartysoftware","Yes","Yes","Yes"
"Browsersavepage","Yes,GoogleChrome55+","6+:OfflineReadingList;3rdpartysoftware","Yes","4.0.1.48+","Yes"
"Browsersaveanyfile","Yes,ChromeforAndroid.","13+;5+:Whenanappthatcanhandle/openthefiletypeisinstalled(excludingaudio/video–requires3rdpartysoftware);","?","Yes","Yes"
"Browserforceenablezoom","Yes,ChromeforAndroid","Yes","?","?","?"
"Browsertextreflow","No,removedonAndroid4.4","5+:Onlyonpageswithreadermodeavailable3rdpartybrowsersonpriorversions","No","No","No"
"BrowserReaderMode","No,3rdpartysoftware","5+","Yes","No","No"
"BrowseropenPDFswithoutstoring","No","Yes","No","No","No"
"Browserfileupload","2.2+","9+;6–8:Limited","Yes","1.0.7+","Yes"
"Browserformnavigation","Nextbutton","Previous,Next,AutoFill,andDonebuttons","?","?","?"
"Browserprivatebrowsingmode","3.0+withAOSPbrowserorwithChromeforAndroid","5+","Yes","1.1.6+","Yes"
"Offlinewebapps","Yes","Yes","No","?","Yes"
"HTTPLiveStreaming","3+","3+","No","?","Yes"
"WebRTC","Yes","11+","No","No","Yes"
