"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Audioplayback","AACLC/LTP3GPP,HE-AACv1(AAC+),HE-AACv2(enhancedAAC+)AMR-NB,AMR-WB,MP3,MIDI(Type0and1,DLSversions1and2),OggVorbis,PCM/WAVE,FLAC,WAVE,Opus","AAC,protectedAAC(fromiTunesStore),HE-AAC,MP3,MP3VBR,Audible(formats2,3,4,AudibleEnhancedAudio,AAX,andAAX+),AppleLossless,AIFF,WAV","AAC,AAC+,eAAC+,AMR-NB,AMR-WB,MP3,Vorbis,WAV","MP3,FLAC,AAC,eAAC,eAAC+,ALAC,AC3,DTS,Opus,Vorbis","?"
"Videoplayback","H.263,H.264(uptoBaselineProfile),H.265HEVC,MPEG-4SP,DivX,XviD,VP8,VP9(WMVon3rdpartysoftwarelikeVLCmediaplayer)","H.264(uptoHighProfile),MPEG-4,M-JPEG","H.263,H.264,MPEG-4Part2","MPEG-4,H264,H263,althoughaudioinrecordedvideosisoutofsync","?"
"Wiredvideoout","4Kon6+","Upto1080pviaHDMIorVGA,576p/480pviacomponentorcomposite;","No","No","Yes"
"Wireddigitalaudiooutput","5+USBAudio","7+:USBAudio","No","No","Yes"
"Wirelessvideo/audiostreamingtosettopboxes/TVs/speakers","4.2+Miracast,butDLNAonlyavailableonselecteddevices","AirPlay","DLNA","?","Yes"
"Mediaplayeron-deviceplaylistcreation","Yes","Yes","?","Yes","Yes"
"Mediaplayervideoscrubbing","Yes","Yes","?","?","?"
"Mediaplayeraudioscrubbing","Yes","Yes","?","?","?"
"Mediaplayerfinescrubbing","No,3rdpartysoftwarelikeVLCmediaplayer,basicfinescrubbingremovedon4+","Yes","?","?","?"
"Mediaplayerdoublespeedplaying","6+","OnlyPodcasts","?","?","?"
