"Product","Developer","Pagination","RotationLock","Auto-scroll","Progressindicator","Backward/forward","TableofContents","Bookmarks","Resume","Cloudsynchronisation","GoTo","Fulltextsearch"
"ApabiReader","BeijingFounderApabiTechnologyLimited","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"Blio","K-NFBReadingTechnology,Inc.","Yes","No","No","In-bookonly","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"BookFusion","BookFusion","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"BluefireReader","BluefireProductions","Yes","Yes","No","In-bookonly","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"DLReader","Datalogics,Inc","Yes","Yes","No","In-bookonly","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"eBookMobi","TienThinhVu","Yes","supportoniPad,portraitonlyoniPhone","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","No","Yes","No"
"EbookReader","Ebooks.comLimited","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"i2Reader","YuriyMelyushin","Yes","Yes","Yes","In-bookonly","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"AppleBooks","Apple","Yes","No","Manual","In-bookonly","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Kindle","AMZNMobileLLC","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"KoboReadingApp","KoboInc.","Yes","Yes","No","In-bookonly","Yes","Yes","Lastplacemarkeronly","Yes","Yes","Yes","No"
"KyBookReader","KonstantinBukreev","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"KyBook2","KonstantinBukreev","Yes","Yes","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes","Yes"
"MapleRead","MaplepopLLC","Yes","Yes","No","Inlibraryandin-book","Configurable","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Marvin","Appstafarian","Yes","Yes","Yes","Inlibraryandin-book","Configurable","Yes","Unlimited","Yes","Optional","Yes","Yes"
"MegaReader","InkstoneSoftware,Inc.","Yes","Yes","No","In-bookonly","Yes","Yes","Unlimited","Yes","No","Yes","No"
"PocketBookreader","ObreeyProducts","Yes","Yes","Yes","In-bookonly","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ShuBook2","AmbibmaLtd.","Yes","Yes","No","Inlibraryandin-book","Yes","Yes","Unlimited","Yes","No","Yes","Yes"
"SideBooks","Tatsumi-systemCo.,Ltd.","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Stanza","Lexcycle","Configurable","Yes","No","Inlibraryandin-book","Configurable","Yes","Unlimited","Yes","No","Yes","Yes"
"uBooksXL","NixSolutionsLtd","Mixedscrolling&pagination","Yes","Yes","Yes","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"iBouquiniste","Sandr","Yes","Yes","No","In-bookonly","Yes","Yes","Unlimited","Yes","Yes","Yes","Yes"
"Product","Developer","Pagination","RotationLock","Auto-scroll","Progressindicator","Backward/forward","TableofContents","Bookmarks","Resume","Cloudsynchronisation","GoTo","Fulltextsearch"
