"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Safedrivingmode","3rdpartysoftware","11+","?","?","?"
"Turn-by-turnnavigation","2+","6+","?","Yes","3rdpartysoftware"
"Offlinemaps","3rdpartysoftwareGoogleMaps,HereWeGo","6+","?","3rdpartysoftware","3rdpartysoftware"
"Alternativeroutesinmaps","Yes","5+","?","3rdpartysoftware","3rdpartysoftware"
