"Feature","Android","iOS","Tizen","SailfishOS","UbuntuTouch"
"Bluetoothkeyboard","2.3+;previousversionsvia3rdpartysoftware","Yes","No","Yes","Yes"
"USBkeyboard","3.1+","WithCameraConnectionKit","No","Yes","Yes"
"Interchangeableexternalmemorycards","Yes","Onlyforphoto/videoimportwithanoptionalaccessory","Yes","Yes","Yes"
