"Client","Registrationrequirement","Lockscreen","Screenshotdetection","Screenshotdisabled(Androidonly)","Voicechanger","Plugins","Peer-to-peertextchat","Opensourceservers","Federatedservers"
"Briar","","","","","","","Yes","",""
"Discord","Email","No","","","","No","No","No","No"
"eBuddy","Phonenumber","Yes","","","","No","No","No","No"
"Element","No","No","","","","Yes","No","Yes","Yes"
"Gadu-Gadu","Email","","","","","No","No","No",""
"Gajim","Email","","","","","Yes","No","Yes","Yes"
"GoogleMessages(RCS)","Phonenumber","","","","","","","",""
"ICQ","Phonenumber","","","","","Yes","No","",""
"Jami","No","No","No","No","No","Yes","Yes","decentralised",""
"Jitsi","","No","","","","Yes","No","Yes","Yes"
"Kadu","","","","","","Yes","No","",""
"KakaoTalk","","","","","","","No","No","No"
"Keybase","No","","","","","No","No","No","No"
"KikMessenger","Email","","","","","","No","No","No"
"Line","Phonenumber","No","","","","Yes","No","No","No"
"Linphone","","","","","","","","",""
"Mattermost","","No","","","","Yes","No","Yes","No"
"MCabber","","","","","","","No","",""
"Messages","","No","","","","No","No","N/A","N/A"
"Messenger","FacebookaccountorPhonenumber","No","","","","Yes","No","No","No"
"Movim","No","?","","","","No","No","Yes","Yes"
"Palringo","No","","","","","No","No","No",""
"Paltalk","Email","","","","","No","No","No",""
"Pidgin","","","","","","Yes","Yes","Yes","Yes"
"Psi","","","","","","Yes","No","",""
"RetroShare","","","","","","","Yes","N/A(P2P)","N/A"
"Ricochet","","","","","","","Yes","N/A","N/A"
"Sicher","Phonenumber","","","","","","No","No","No"
"Signal","Phonenumber;iOSorAndroiddevice","Yes","","","","No","No","Yes","No"
"SilentPhone","No","Yes","","","","","No","No","No"
"Skype","Email","","","","","Yes","No","No","No"
"Slack","Email","","","","","Yes","No","No","No"
"Snapchat","EmailorPhonenumber","Yes","","","","Yes","No","No","No"
"Surespot","No","","","","","No","No","No","No"
"TeamNote","","","","","","","","",""
"Telegram","Phonenumber;iOSorAndroiddevice","Yes","","","","No","No","No","No"
"TencentQQ","","","","","","No","No","No","No"
"Threema","No","Yes","","","","No","No","No","No"
"Trillian","No","","","","","Yes","No","No","Yes"
"Viber","Phonenumber","Yes","","","","Yes","No","No","No"
"WeChat","PhonenumberorQQnumber","","","","","","No","No","No"
"WhatsApp","Phonenumber","No","","","","No","No","No","No"
"WickrMe","No","Yes","Yes","Yes","","Yes","No","No","No"
"Wire","EmailorPhonenumber","No","","","","No","No","Yes","Yes"
"Client","Registrationrequirement","Lockscreen","Screenshotdetection","Screenshotdisabled(Androidonly)","Voicechanger","Plugins","Peer-to-peertextchat","Opensourceservers","Federatedservers"
