"Driver","Chipset","Integration","Freefirmware","License","Original/Primarydeveloper","Developmentmethodologies","Freesoftware"
"an","Aironet4500/4800,CiscoAironet340/350","Integrated","N/A","BSD","BillPaul(FreeBSD)","PortedfromFreeBSD","Yes"
"ath","AtherosAR521*/AR2413/AR2417/AR5413/AR5416/AR5424/AR9160","Integrated","N/A","BSD","SamLeffler(FreeBSD)","BinaryblobsportedfromFreeBSD","Yes"
"athn","AtherosAR5008uptotheAR9287","Integrated","N/A","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"atu","Atmelat76c503/at76c503a/at76c505/at76c505a","Integrated","N/A","BSD","DanVreeken(FreeBSD)","PortedfromOpenBSD","Yes"
"atw","ADMtekADM8211","Integrated","N/A","BSD","DavidYoung(NetBSD)","","Yes"
"awi","AMDPCnetMobile","Integrated","N/A","BSD","","","Yes"
"bwi","BroadcomBCM430x/4318","Integrated","N/A","BSD","SepherosaZiehau(DragonflyBSD)","PortedfromDragonflyBSD","Yes"
"cnw","NetwaveAirSurfer","Integrated","N/A","BSD","","","Yes"
"ipw","IntelPRO/Wireless2100","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"iwi","IntelPRO/Wireless2200BG/2915ABG","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"iwm","IntelWirelessWiFi7260,7265,3160","Integrated","No","BSD","AnttiKantee(NetBSD)","","Yes"
"iwn","IntelWirelessWiFiLink4965/5000/1000/6000","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"malo","Marvell88W8335/88W8310","Integrated","No","BSD","ClaudioJeker(OpenBSD)","PortedfromOpenBSD","Yes"
"otus","AtherosAR9001U","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"ral","RalinkRT2500/RT2501/RT2600/RT2500USB/RT3592","Integrated","N/A","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"ray","RaytheonRaylink/WebGearAviator","Integrated","N/A","BSD","ChristianE.Hopps(NetBSD)","","Yes"
"rtw","RealtekRTL8180L","Integrated","N/A","BSD","DavidYoung(NetBSD)","","Yes"
"rtwn","RealtekRTL8188CEandRTL8192CE","Integrated","N/A","BSD","StefanSperling(OpenBSD)","PortedfromOpenBSD","Yes"
"run","RalinkRT2700U,RT2800UandRT3000U","Integrated","N/A","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"upgt","Conexant/IntersilPrismGTSoftMACUSBIEEE802.11b/g","Integrated","N/A","BSD","MarcusGlocker(OpenBSD)","PortedfromOpenBSD","Yes"
"urtw","RealtekRTL8187B/L","Integrated","No","BSD","WeongyoJeong(FreeBSD)","PortedfromFreeBSD","Yes"
"urtwn","RealtekRTL8188CUS,RTL8188CE-VAU,RTL8188EUS,RTL8188RU,andRTL8192CU","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"wi","LucentTechnologiesWaveLAN/IEEEandPRISM-II802.11","Integrated","No","BSD","BillPaul","","Yes"
"wpi","IntelPRO/Wireless3945ABG","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
"zyd","ZyDASZD1211/ZD1211B","Integrated","No","BSD","DamienBergamini(OpenBSD)","PortedfromOpenBSD","Yes"
