"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","SupportedAPIversion","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","TDP(Watts)","Notes"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Shaderclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","TDP(Watts)","Notes","Bustype","Buswidth(bit)","Singleprecision","Direct3D","OpenGL"
"QuadroNVS110M","G72M","90","PCIe1.0x16","300","300","600","3:4:4:2","0.6","1.2","Upto512","4.8","DDR","64","","9.0c","2.1","10",""
"QuadroNVS120M","G72GLM","90","PCIe1.0x16","450","450","700","3:4:4:2","0.9","1.8","Upto512","5.6","DDR2","64","","9.0c","2.1","10",""
"QuadroNVS130M","G86M","80","PCIe2.0x16","700","400?","800?","8:4:4","DDR2","1.6?","1.6?","Upto256","6.4?","19.2","10.0","64","3.3","10",""
"QuadroNVS135M","G86M","80","PCIe2.0x16","400","800","1188","16:8:4","1.6","Upto256","3.2","9.504","10.0","3.3","GDDR3","38.4","64","10",""
"QuadroNVS140M","400","800","G86M","80","1.6","3.2","PCIe2.0x16","GDDR3","1200","16:8:4","Upto512","9.6","38.4","64","10","","10.0","3.3"
"QuadroNVS150M","G98M","65","PCIe2.0x16","530","1300","1400","8:4:4","GDDR3","2.12","2.12","Upto256","11.2","10.0","3.3","31.2","64","10",""
"QuadroNVS160M","G98M","65","580","1450","1400","PCIe2.0x16","2.12","8:8:4","4.24","11.2","256","34.8","GDDR3","12","64","","10.0","3.3"
"QuadroNVS300M","G72GLM","90","PCIe1.0x16","450","450","1000","3:4:4:2","0.9","1.8","Upto512","8","DDR2","64","","9.0c","2.1","16",""
"QuadroNVS320M","G84M","65","PCIe2.0x16","575","1150","1400","32:16:8","4.6","9.2","Upto512","22.4","GDDR3","128","110.4","10.0","3.3","20",""
"QuadroNVS510M","G72GLM","90","PCIe1.0x16","500","500","1200","8:24:24:16","8","12","Upto1024","GDDR3","38.4","256","","9.0c","2.1","45?","basedonGo7900GTX"
