"Client","Developer","Initialrelease","Latestrelease","Latestrelease","License","Copyfilesover2GB"
"Client","Developer","Initialrelease","Version","License","Copyfilesover2GB","Date"
"AbsoluteTelnet","CelestialSoftware","1996","9.49","2012-07-02","Proprietary","Yes"
"BeyondCompare","ScooterSoftware","1996","4.4.1","2021-12-20","Proprietary","Yes"
"CommanderOne","EltimaSoftware","2015","3.3.3508","2021-09-10","Proprietary","Yes"
"CrossFTPPro","CrossFTPSoftware","2006","1.98.7","2020-05-23","Proprietary","Yes"
"CuteFTP","AlexKunadze/Globalscape","1994","macOS:3.1.3Windows:9.3.0","2014-05-022018-07-11","Proprietary","Yes"
"DirectoryOpus","GPSoftware","1990","11.10","2014-12-19","Proprietary","Yes"
"FlashFXP","OpenSightSoftware,LLC","1999","5.4.0.3970","2017-04-01","Proprietary","Yes"
"SmartFTP","SmartSoftLtd","1998","6.0.2155.0","2015-07-23","Proprietary","Yes"
"TotalCommander","ChristianGhisler","1993","Android:3.24Windows:10.00","2021-10-182021-06-10","Proprietary","Yes"
"WebDrive","SouthRiverTechnologies,Inc.","1998","2017","2017-06-16","Proprietary","Yes"
"WS_FTP","Ipswitch,Inc.","1996","12.7","2018-11-27","Proprietary","Yes"
"YummyFTP","YummySoftware","2004","1.9.0","2018-05-10","Proprietary,Setapp","?"
