"Model","Launch","Codename","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Memory","Memory","Fillrate","Fillrate","Fillrate","Memory"
"Model","Launch","Codename","Businterface","Coreclock(MHz)","Memoryclock(MHz)","Coreconfig","MOperations/s","MPixels/s","MTexels/s","MVertices/s","Size(MiB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)"
"Radeon8500","Aug14,2001","R200(chaplin)","AGP4x","275","275","4:2:8:4","1100","1100","2200","137.5","64,128","8.8","DDR","128"
"Radeon8500LE","Feb4,2002","R200(chaplin)","AGP4x","250","250","4:2:8:4","1000","1000","2000","125","64,128","8","DDR","128"
"Radeon9000","Aug1,2002","250","RV250(iris)","1000","1000","AGP4x","200","4:1:4:4","1000","50","6.4","64,128","DDR","128"
"Radeon9000Pro","Aug1,2002","RV250(iris)","275","4:1:4:4","275","AGP4x","1100","1100","1100","68.75","8.8","64,128","DDR","128"
"Radeon9100","April1,2003","R200(chaplin)","AGP4x","250","250","4:2:8:4","1000","1000","2000","125","64,128","8.04.0","DDR","128"
"Radeon9100","April1,2003","R200(chaplin)","250","250","4:2:8:4","1000","1000","2000","125","8.04.0","12864","AGP4x","64,128","DDR"
"Radeon9200","April1,2003","RV280(argus)","250","AGP8x,PCI","200","1000","1000","4:1:4:4","1000","62.5","64,128,256","6.4","128","DDR"
"Radeon9200SE","RV280(argus)","AGP8x,PCI","March1,2003","4:1:4:4","200","166","64,128,256","800","800","800","50","2.67","64","DDR"
"Radeon9250","RV280(argus)","AGP8x,PCI","March1,2004","4:1:4:4","240","200","64,128,256","960","960","960","60","3.2,6.4","64,128","DDR"
"Radeon9250SE","RV280(argus)","2004","AGP8x","4:1:4:4","","","64,128,256","","","","","","64","DDR"
