"Service","Owner","Launched","Primaryservice","Softwarelicense","Contentlicense","Multilingual","Ad-free"
"GNUsocial","Opensource","2010","microblogging","AGPLv3","CC-BY3.0","Yes","Yes"
"Diaspora","Opensource","2010-11","socialnetwork","AGPLv3","AGPLv3","Yes","Yes"
"Facebook","Facebook,Inc.","2004-02","socialnetwork","proprietary","ownTOS","Yes","No"
"micro.blog","RiverfoldSoftware","2017-04","microblogging","???","???","Yes","Yes"
"Movim","Opensource","2011-03","socialnetwork","AGPLv3","AGPLv3","Yes","Yes"
"identi.ca","StatusNet,Inc.","2008-07","microblogging","Apachev2(pump.io)","CC-BY3.0","Yes","Yes"
"Tout","Tout","2010-04","microblogging","proprietary","ownTOS","Yes","Yes"
"Twitter","Twitter,Inc.","2006-08","microblogging","proprietary","ownTOS","Yes","No"
"Yammer","Yammer,Inc.","2008-09","microblogging","proprietary","ownTOS","Yes","Yes"
"Mastodon","Opensource","2016-10","microblogging","AGPLv3","ownTOS","Yes","Yes"
"Twister","Opensource","2013","microblogging","MITandBSDlicenses","ownTOS","Yes","Yes"
"Tumblr","Automattic","2007","microblogging","proprietary","ownTOS","Yes","No"
"Steamcommunity","ValveCorporation","","ContentdeliverySocialnetworkservice","proprietary","","","Yes"
