"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"ZeroResourceSpeechChallenge2015","Spontaneousspeech(English),Readspeech(Xitsonga).","rawwav","English:5h,12speakers;Xitsonga:2h30;24speakers","sound","Unsuperviseddiscoveryofspeechfeatures/subwordunits/wordunits","2015","","Versteeghetal."
"ParkinsonSpeechDataset","MultiplerecordingsofpeoplewithandwithoutParkinson'sDisease.","Voicefeaturesextracted,diseasescoredbyphysicianusingunifiedParkinson'sdiseaseratingscale","1,040","Text","Classification,regression","2013","","B.E.Sakaretal."
"SpokenArabicDigits","SpokenArabicdigitsfrom44maleand44female.","Time-seriesofmel-frequencycepstrumcoefficients.","8,800","Text","Classification","2010","","M.Beddaetal."
"ISOLETDataset","Spokenletternames.","Featuresextractedfromsounds.","7797","Text","Classification","1994","","R.Coleetal."
"JapaneseVowelsDataset","NinemalespeakersutteredtwoJapanesevowelssuccessively.","Applied12-degreelinearpredictionanalysistoittoobtainadiscrete-timeserieswith12cepstrumcoefficients.","640","Text","Classification","1999","","M.Kudoetal."
"Parkinson'sTelemonitoringDataset","MultiplerecordingsofpeoplewithandwithoutParkinson'sDisease.","Soundfeaturesextracted.","5875","Text","Classification","2009","","A.Tsanasetal."
"TIMIT","Recordingsof630speakersofeightmajordialectsofAmericanEnglish,eachreadingtenphoneticallyrichsentences.","Speechislexicallyandphonemicallytranscribed.","6300","Text","Speechrecognition,classification.","1986","","J.Garofoloetal."
"ArabicSpeechCorpus","Asingle-speaker,ModernStandardArabic(MSA)speechcorpuswithphoneticandorthographictranscriptsalignedtophonemelevel","Speechisorthographicallyandphoneticallytranscribedwithstressmarks.","~1900","Text,WAV","SpeechSynthesis,SpeechRecognition,CorpusAlignment,SpeechTherapy,Education.","2016","","N.Halabi"
"CommonVoice","Apublicdomaindatabaseofcrowdsourceddataacrossawiderangeofdialects.","Validationbyotherusers","English:1,118hours","MP3withcorrespondingtextfiles","Speechrecognition","June2017(December2019)","","Mozilla"
