"Name","MacOSX","MacOSclassic","Windows","Cygwin","BSD","Linux","Solaris","Java","OpenVMS","z/OS","AmigaOS","AIX","HPUX","iOS:iPhone,iPodTouch","webOS","Android"
"ApacheMINASSHD","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No"
"BitviseSSHServer","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"CopSSH","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"CrushFTPServer","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No"
"Dropbear","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes"
"lsh","Yes","No","No","No","Partial","Yes","Yes","No","No","No","No","No","No","No","No","??"
"OpenSSH(OpenBSDSecureShell)","Included","No","Optional","Included","Included","Included","Yes","No","Yes","Yes","Yes","Yes","Included","Yes","Yes","Partial"
"wolfSSH","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","??","No"
