"Model","Launch","Codename","Fab(nm)","Businterface","Clockrate","Clockrate","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","APIcompliance(version)","APIcompliance(version)","Memory","Memory","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","APIcompliance(version)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Core(MHz)","Coreconfig","Memory(MHz)","Pixel(GP/s)","Texture(GT/s)","Size(GiB)","TDP(Watts)","Notes","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL","OpenCL","Vulkan"
"RadeonSky500","April2013","PitcairnXT","28","PCIe3.0x16","950","1200","1280:80:32:20","30.4","76","4","153.6","GDDR5","256","2432","152","12.0","4.5","1.2","?","150","OneDisplayPort"
"RadeonSky700","April2013","TahitiPRO","28","PCIe3.0x16","900","1375","1792:112:32:28","28.8","100.8","6","264","GDDR5","384","3225.6","806.4","12.0","4.5","1.2","?","225","OneDisplayPort"
"RadeonSky900","April2013","2×TahitiPRO","28","PCIe3.0x16","825950","1250","2×1792:112:32:28","52.8","184.8","2×3","2×240","GDDR5","2x384","5913.6","1478.4","12.0","4.5","1.2","?","300","FourMiniDisplayPort,OneDVI-I"
