"Implementation","SecureRenegotiation","ServerNameIndication","ALPN","CertificateStatusRequest","OpenPGP","SupplementalData","SessionTicket","KeyingMaterialExporter","MaximumFragmentLength","TruncatedHMAC","Encrypt-then-MAC","TLSFallbackSCSV","ExtendedMasterSecret","ClientHelloPadding","RawPublicKeys"
"Botan","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Unknown"
"BSAFESSL-J","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No"
"cryptlib","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","Unknown"
"GnuTLS","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"JSSE","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","No","No?","Yes","Yes?","No","No","No","Serversideonly","No","Yes","No"
"MatrixSSL","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Unknown"
"MbedTLS","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Disabledbydefault","Yes","Yes","Yes","No","No"
"NSS","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Unknown"
"OpenSSL","Yes","Yes","Yes","Yes","No","No?","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"SChannelXP/2003","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Unknown"
"SChannelVista/2008","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","Unknown"
"SChannel7/2008R2","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Unknown"
"SChannel8/2012","Yes","Yes","No","Yes","No","Yes","Clientsideonly","No","No","No","No","No","Yes","No","Unknown"
"SChannel8.1/2012R2,10","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","Unknown"
"SecureTransport","Yes","Yes","Unknown","No","No","Yes","No","No","No","No","No","No","No","No","Unknown"
"wolfSSL","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Unknown"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Unknown"
"Implementation","SecureRenegotiation","ServerNameIndication","ALPN","CertificateStatusRequest","OpenPGP","SupplementalData","SessionTicket","KeyingMaterialExporter","MaximumFragmentLength","TruncatedHMAC","Encrypt-then-MAC","TLSFallbackSCSV","ExtendedMasterSecret","ClientHelloPadding","RawPublicKeys"
