"Operator","Languages"
"+","ALGOL68,BASIC,C++,C#,Cobra,Pascal,ObjectPascal,Eiffel,Go,JavaScript,Java,Python,Turing,Ruby,Rust,WindowsPowerShell,Objective-C,Swift,F#,Scala,Ya"
"++","Haskell,Erlang"
"$+","mIRCScriptingLanguage"
"&","Ada,AppleScript,COBOL(forliteralsonly),Curl,Seed7,VHDL,VisualBasic,VisualBasic.NET,Excel,FreeBASIC,Nim"
"nconc","CommonLisp"
".","Perl,PHP,andMaple(uptoversion5),Autohotkey"
"~","RakuandD"
"||","Icon,StandardSQL,PL/I,Rexx,andMaple(fromversion6)"
"<>","Mathematica,WolframLanguage"
"..","Lua"
":","PickBasic"
",","Jprogramminglanguage,Smalltalk,APL"
"^","OCaml,StandardML,F#,rc"
"//","Fortran"
"*","Julia"
