"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Boostclock(MHz)","Memoryclock(MHz)","Coreconfig","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","Memory","Memory","Fillrate","Memory","Processingpower(GFLOPS)","SupportedAPIversion","NvidiaOptimustechnology","TDP(Watts)"
"Model","Codename","Fab(nm)","Businterface","Coreclock(MHz)","Boostclock(MHz)","Memoryclock(MHz)","Coreconfig","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","NvidiaOptimustechnology","TDP(Watts)","Bustype","Buswidth(bit)","Singleprecision","Doubleprecision","Direct3D","OpenGL","Vulkan"
"QuadroM500M","GM108","28","PCIe3.0x16","1029","1124","900(1800)","384:24:8(3SMM)","8.992","17.98","2048","14.40","DDR3","64","863.2","26.98","12.1","4.5","1.0","Yes","25"
"QuadroM600M","GM107","28","PCIe3.0x16","837","876","1253(5012)","384:24:16(3SMM)","7.008","14.02","2048","80.2","GDDR5","128","672.8","21.02","12.1","4.5","1.0","Yes","30"
"QuadroM1000M","GM107","993","28","1253(5012)","PCIe3.0x16","","512:32:16(4SMM)","80.2","GDDR5","128","15.89","31.78","1017","31.78","2048","40","12.1","4.5","1.0","Yes"
"QuadroM2000M","GM107","1029","28","1253(5012)","PCIe3.0x16","1098","640:40:16(5SMM)","80.2","GDDR5","128","17.57","43.92","4096","1405","43.92","55","12.1","4.5","1.0","Yes"
"QuadroM3000M","GM204","28","PCIe3.0x16","1253(5012)","1050","4096","","1024:64:32(8SMM)","33.60","GDDR5","67.20","160.4","256","2150","67.20","75","12.1","4.5","1.0","Yes"
"QuadroM4000M","GM204","975","28","PCIe3.0x16","1253(5012)","","160.4","256","4096","1280:80:48(10SMM)","62.40","78.00","GDDR5","2496","78.00","100","12.1","4.5","1.0","Yes"
"QuadroM5000M","GM204","962","28","PCIe3.0x16","1253(5012)","","160.4","100","256","1536:96:64(12SMM)","62.40","93.60","GDDR5","8192","2955.3","93.60","12.1","4.5","1.0","Yes"
