"Feature/Framework","AdobeFlexbuilt-incharts","Axiis","BirdEye","Flare","Flexmonster","IBMILOGElixir","KapITLabs","yFiles","amCharts"
"3Dcharts","No","No","No","No","No","Yes","No","No","Yes"
"Rotate,zoomchartin3D","No","No","No","No","No","Yes","No","No","No"
"Show-up&otheranimationeffects","Yes","No","Partial(onlyforDependencyGraph)","Yes","Partial(onlyforPieChart)","Yes","No","Yes","Yes"
"Interactivelegend","Viacustomization","No","No","No","No","Viacustomization","Yes","No","Yes"
"Showtotalvaluesoverthebars","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"Stringformaterforlabels","Yes","Yes","No","No","No","Yes","?","?","Yes"
"Abilitytodefinecustomcolorforeachbar(chartitem)","Yes","?","?","?","?","Yes","?","?","Yes"
"Combinedcharts","Yes","No","Yes","No","No","Yes","No","No","Yes"
"Multipleaxis","Yes","No","No","No","No","No","No","No","Yes"
