"","Creator","Lateststableversion","Releasedate","Softwarelicense","Opensource","Programminglanguage","Pluginsupport"
"Appetizer","LaurentCozic","1.4.6.494","February13,2010","GPL","Yes","C++,wxWidgets","Yes"
"ASuite","SalvadorSoftware","2.0","April20,2020","GPL","Yes","Delphi","No"
"ClassicShell","IvoBeltchev","4.3.1","August12,2017","MIT","Yes","C++","Yes(viashellnamespaceextensionsinsidethemenu)"
"LiberKey","CaptelSARL","5.8.1129","November30,2015","Proprietary","No","?","No"
"PortableApps.comPlatform","RareIdeas,LLC","15.0.2","May17,2018","GPL","Yes","Delphi","No"
"QuickAccessPopup","JeanLalonde","11.5.0.1","September26,2021","Freeware","Yes","AutoHotkey","No"
"SliderDock","DimitriRoozendaal","1.21","October11,2010","CreativeCommons","No","?","No"
"SyMenu","GianlucaNegrelli","7.00.8038","January3,2022","Freeware","No","C#","Yes"
"XIALinks","CENTRELSolutions","4.2.12","July1,2021","Proprietary","No","C#","No"
