"Format","Type","License","MKV","MP4","QTFF","ASF","AVI","MXF","PS,TS","M2TS","VOB","EVO","3GP,3G2","F4V","FLV","Ogg","WebM"
"SubRip","Formattedtext","Opensource","Yes","AsTTXT","AsTTXT","AsSAMI","Needsalterations","AsSMPTE-TT","No","No","No","No","AsTTXT","AsTTXT","No","AsOggKate","AsWebVTT"
"WebVTT","Formattedtext","Opensource","Yes","Yes","AsTTXT","No","No","AsSMPTE-TT","No","No","No","No","AsTTXT","AsTTXT","UsingActionScript","No","Yes"
"ASS,SSA","Formattedtext","Opensource","Yes","No","No","No","Needsalterations","AsSMPTE-TT","No","No","No","No","No","No","No","No","No"
"TTXT","XML","Patentencumbered","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"USF","XML","Proprietary","Planned","No","No","No","Needsalterations","No","No","No","No","No","No","No","No","No","No"
"SAMI","HTML","Proprietary","No","No","No","Yes","Needsalterations","AsSMPTE-TT","No","No","No","No","No","No","No","No","No"
"VobSub","Picture","Patentencumbered","Mature","Yes","Notstandard","No","Needsalterations","No","No","AsPGS","Yes","No","No","No","No","No","No"
"PGS","Picture","Patentencumbered","Mature","AsVobSub","No","No","No","No","No","Blu-ray","AsVobSub","HDDVD","No","No","No","No","No"
"DVB-SUB","Picture","Patentencumbered","Mature","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"OggKate","Pictureorformattedtext","Opensource","Mature","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"TextST","Textstream","Patentencumbered","Beta","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"MicroDVD","Plaintext","Proprietary","No","No","No","No","Needsalterations","No","No","No","No","No","No","No","No","AsOggWrit","No"
"Other","Other","Varies","Genericbitmapimages,genericplaintext","BIFS","QuicktimeSMIL,EIA-608","—","XSUB","SMPTE-TT,EBU-TT","CEA-708","—","—","—","—","—","—","OggWrit","—"
"Obsolete","Other","—","—","—","—","—","—","—","—","—","—","—","—","—","—","CMML","—"
