"Client","POP3fetchallmessages","POP3selectedbyfilter","POP3selectedbyuser","IMAP4","SMTP","NNTP","LDAPv2","LDAPv3","EWS","IPv6","MAPI"
"Alpine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"AppleMail","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","?"
"Becky!InternetMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Citadel","Yes","?","?","Yes","Yes","?","?","?","?","?","?"
"ClawsMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Courier","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","?","?"
"Elm","No","No","No","?","?","?","?","?","?","?","?"
"eMClient","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","No"
"EmailTray","Yes","No","No","Yes","Yes","No","No","No","No","No","No"
"Evolution","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","plug-in","?","plug-in"
"Gnus","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?","?","?"
"GroupWise","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Hiri","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No"
"i.Scribe/InScribe","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes"
"HCLNotes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"KMail","Yes","Yes","Yes","Yes","Yes","No","Yes","?","?","?","?"
"Mailbird","Yes","?","?","Yes","Yes","?","Yes","Yes","?","Yes","?"
"Mailpile","Yes","No","No","Yes","Yes","?","?","?","?","?","?"
"MicrosoftEntourage","Yes","?","?","Yes","Yes","Yes","No","Yes","Partial","?","?"
"MicrosoftEntourage2008,WebServicesEdition","Yes","?","?","Yes","Yes","?","?","Yes","Yes","?","?"
"MicrosoftOfficeOutlook","Yes","No","No","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"MozillaMail&Newsgroups","?","?","?","?","?","?","?","?","?","?","?"
"MozillaThunderbird","Yes","No","No","Yes","Yes","Yes","Partial","Partial","extensible","Yes","?"
"Mulberry","Yes","No","No","Yes","Yes","No","Yes","?","?","Yes","Yes"
"Mutt","Yes","No(possiblewithPOP3browser)","No(possiblewithPOP3browser)","Yes","Yes","No(slrnlooksalike)","Partial(resolverealnamesthroughNSS)","?","?","Yes","?"
"NetscapeMessenger","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"NetscapeMessenger9","Yes","?","?","Yes","?","Yes","?","?","?","?","?"
"nmh/MH","Yes","?","?","No","Yes","?","?","?","No","?","No"
"OperaMail","Yes","No","Yes","Yes","Yes","Yes","No","No","?","Yes","Yes"
"OutlookExpress","Yes","No","No","Yes","Yes","Yes","Yes","?","No","?","No"
"PegasusMail","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"Pine","Yes","No","No","Yes","Yes","Yes","Yes","No","?","?","?"
"Pocomail","Yes","Yes","Yes","Yes","Yes","No","No","No","?","?","?"
"RoundCube","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"SeaMonkeyMail&Newsgroups","Yes","No","No","Yes","Yes","Yes","Partial","?","?","Yes","?"
"SquirrelMail","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"Sylpheed","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"TheBat!","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Trojitá","No","No","No","Yes","Yes","No","No","No","No","Yes","No"
"Turnpike","Yes","?","?","?","Yes","Yes","?","?","?","?","?"
"WindowsLiveMail","Yes","No","No","Yes","Yes","Yes","Yes","?","No","Yes","No"
"WindowsMail","Yes","No","No","Yes","Yes","?","?","?","No","Yes","No"
"YAM","Yes","Yes","Yes","No","Yes","No","No","No","?","?","?"
"Zimbra","Yes","No","No","Yes","Yes","No","Yes","Yes","?","?","?"
"Client","POP3fetchallmessages","POP3selectedbyfilter","POP3selectedbyuser","IMAP4","SMTP","NNTP","LDAPv2","LDAPv3","EWS","IPv6","MAPI"
