"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0004","Dataforms","Final","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0009","JabberRPC","Final","Yes","Unknown","Unknown","No","Unknown","No","No","Unknown","Yes","Yes"
"0012","LastActivity","Final","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0013","Flexibleofflinemessageretrieval","Stable","No","Unknown","Yes","No","No","No","No","Yes","No","Yes"
"0016","PrivacyLists","Deprecated","Yes","Unknown","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes"
"0018","InvisiblePresence","Rejected","Yes","Unknown","Yes","No","No","No","Yes","Unknown","Unknown","No"
"0020","Featurenegotiation","Deprecated","Yes","Unknown","Unknown","No","Unknown","No","No","No","Yes","Yes"
"0022","MessageEvents","Obsolete","Yes","Unknown","Yes","Yes","Unknown","No","Yes","Unknown","Yes","Yes"
"0023","MessageExpiration","Obsolete","Yes","Unknown","Yes","Yes","Unknown","No","Yes","Unknown","Unknown","No"
"0025","HTTPPolling","Obsolete","Yes","Unknown","Unknown","No","No","No","No","Unknown","No","No"
"0030","ServiceDiscovery","Final","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0033","ExtendedStanzaAddressing","Stable","Yes","Unknown","Unknown","No","No","No","No","Yes","PartialContrib.","No"
"0039","StatisticsGathering(deferred)","Deferred","Yes","Unknown","Unknown","No","No","No","No","Unknown","Unknown","Yes"
"0045","MultiUserChat","Stable","Yes","Unknown","Contrib.","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0047","In-BandBytestreams","Final","Yes","Unknown","Unknown","No","Unknown","No","Yes","Yes","Yes","Yes"
"0049","PrivateXMLStorage","HistoricalUse","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"0050","Ad-HocCommands","Stable","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0054","vcard-temp","HistoricalUse","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XEP","Description","Status","ejabberd","iChatServer","jabberd14","jabberd2","Metronome","IsodeM-Link","MongooseIM","Openfire","Prosody","Tigase"
"0055","JabberSearch","HistoricalUse","Yes","Unknown","Unknown","No","Yes","Yes","Yes","Yes","No","Unknown"
"0059","Resultsetmanagement","Stable","Yes","Unknown","Unknown","No","Partial","No","Yes","Yes","No","Yes"
"0060","Publish-Subscribe","Stable","Yes","Unknown","Contrib.","No","Yes","Yes","Yes","Yes","Yes","Yes"
"0065","SOCKS5Bytestreams","Stable","Yes","Unknown","Contrib.","No","Yes","No","No","Yes","Yes","Yes"
