"Model(Codename)","Launch","Architecture(Fab)","Core","Fillrate","Core","Memory","Memory","Memory","Fillrate","Processingpower(GFLOPS)","Memory","TDP"
"Model(Codename)","Launch","Architecture(Fab)","Config","Clock(MHz)","Processingpower(GFLOPS)","Texture(GT/s)","TDP","Pixel(GP/s)","Bustype&width","Size(GiB)","Clock(MT/s)","Band-width(GB/s)"
"RadeonR5M330(ExoPro)","2015","GCN1gen(28nm)","320:20:8","Unknown1030","8.2","20.6","659.2","DDR364-bit","24","1000","14.416","18W"
"RadeonR5M335(ExoPro)","2015","GCN1gen(28nm)","320:20:8","Unknown1070","8.6","21.4","684.8","DDR364-bit","24","1100","17.6","Unknown"
"RadeonR7M360(MesoXT)","2015","GCN1gen(28nm)","384:24:8","Unknown1125","9","27","864","DDR364-bit","24","1000","16","Unknown"
"RadeonR9M365X(StratoPro)","2015","GCN1gen(28nm)","640:40:16","Unknown925","14.8","37","1184","GDDR5128-bit","4","1125","72","50W"
"RadeonR9M370X(StratoPro)","May2015","GCN1gen(28nm)","640:40:16","800","12.8","32","1024","GDDR5128-bit","2","1125","72","40–45W"
"RadeonR9M375(StratoPro)","2015","GCN1gen(28nm)","640:40:16","Unknown1015","16.2","40.6","1299.2","GDDR5128-bit","4","1100","35.2","Unknown"
"RadeonR9M375X(StratoPro)","2015","GCN1gen(28nm)","640:40:16","Unknown1015","16.2","40.6","1299.2","GDDR5128-bit","4","1125","72","Unknown"
"RadeonR9M380(StratoPro)","2015","GCN1gen(28nm)","640:40:16","Unknown900","14.4","36","1152","GDDR5128-bit","4","1500","96","Unknown"
"RadeonR9M385X(Strato)","2015","GCN2gen(28nm)","896:56:16","Unknown1100","17.6","61.6","1971.2","GDDR5128-bit","4","1500","96","~75W"
"RadeonR9M390(Pitcairn)","June2015","GCN1gen(28nm)","1024:64:32","Unknown958","30.7","61.3","1962","GDDR5256-bit","2","1365","174.7","~100W"
"RadeonR9M390X(AmethystXT)","2015","GCN3gen(28nm)","2048:128:32","Unknown723","23.1","92.5","2961.4","GDDR5256-bit","4","1250","160","125W"
"RadeonR9M395(AmethystPro)","2015","GCN3gen(28nm)","1792:112:32","Unknown834","26.6","93.4","2989.0","GDDR5256-bit","2","1365","174.7","125W"
"RadeonR9M395XAmethystXT)","2015","GCN3gen(28nm)","2048:128:32","Unknown909","29.1","116.3","3723.3","GDDR5256-bit","4","1365","174.7","125W"
