"Definition","contains(string,substring)returnsboolean"
"Description","Returnswhetherstringcontainssubstringasasubstring.ThisisequivalenttousingFindandthendetectingthatitdoesnotresultinthefailureconditionlistedinthethirdcolumnoftheFindsection.However,somelanguageshaveasimplerwayofexpressingthistest."
"Related","Find"
