"Client","FirstpublicDate","FirstpublicVersion","FirststableDate","FirststableVersion","Lateststablerelease"
"Alpine","2006-11","0.8","2007December","1.00","2.25(September18,2021;5monthsago(2021-09-18))[±]"
"AppleMail","?","?","?","?","1.3.3(19September2019;2yearsago(19September2019))"
"Becky!InternetMail","1996","1","?","?","2.75.04(May6,2021;10monthsago(2021-05-06))[±]"
"Citadel","1987","?","1988","1.00","906(January15,2017;5yearsago(2017-01-15))[±]"
"ClawsMail","2001-05","0.4.67","2005-01","1.0.0","4.0.010July2021"
"Courier","2004-06","3.5","discontinued","discontinued","3.5(June2004)[±]"
"Elm","1986","?","1987-03","2","2.5.8(August18,2005;16yearsago(2005-08-18))[±]"
"eMClient","2007-11","1.0","2007-11","1.0","8.2(March22,2021;11monthsago(2021-03-22))[±]"
"EmailTray","2010-10","2.0","2011-03","3.11","4.0(July2,2012;9yearsago(2012-07-02))[±]"
"Eudora","1988","?","1988","?","7.1(Windows),6.2.4(MacOS)(October11,2006;15yearsago(2006-10-11))[±]"
"Evolution","2000-05-11","0.0","2001-12-03","1.0","3.42.45June2021;9monthsago(5June2021)"
"FortéAgent","?","?","?","?","8(October20,2014;7yearsago(2014-10-20))[±]"
"Geary","2012","0.1","2012","0.1","40.0(April23,2021;10monthsago(2021-04-23))[±]"
"Gnus","1987","?","1988-02-01","2.0","2015-04-06"
"GroupWise","?","?","1986","1.0","18.3(December2020;1yearago(2020-12))[±]"
"Hiri","2014-02","0.4","2016-06","1.0","1.0.11(June10,2017;4yearsago(2017-06-10))[±]"
"i.Scribe/InScribe","1999","1.00","?","?","2.3.18(March30,2021;11monthsago(2021-03-30))[±]"
"IBMLotusNotes","1989","1.0","1989","1.0","11.0.1(March31,2020;23monthsago(2020-03-31))[±]"
"IMP","?","?","1998","1.0","6.2.16(September6,2016;5yearsago(2016-09-06))[±]"
"K-9Mail","?","?","?","?","5.800(24July2021;7monthsago(24July2021))"
"KMail","1998-10","Alpha","1999-02","1.0.17","4.14.38(November7,2017;4yearsago(2017-11-07))[±]"
"Mailbird","2013-04-01","PublicBeta","?","?","2.9.29(April22,2021;10monthsago(2021-04-22))[±]"
"Mailpile","2011-11","","","","1.0.0rc6(September4,2019;2yearsago(2019-09-04))[±]"
"MicrosoftEntourage","?","?","?","?","2008(12.3.6)(March12,2013;8yearsago(2013-03-12))[±]"
"MicrosoftOfficeOutlook","1997","97","1997","97","Office3652107(BetaChannel)(16.0.13901.20462)/June8,2021;9monthsago(2021-06-08)One-timepurchase2021/October5,2021;5monthsago(2021-10-05)","Office365","2107(BetaChannel)(16.0.13901.20462)/June8,2021;9monthsago(2021-06-08)","One-timepurchase","2021/October5,2021;5monthsago(2021-10-05)"
"Office365","2107(BetaChannel)(16.0.13901.20462)/June8,2021;9monthsago(2021-06-08)"
"One-timepurchase","2021/October5,2021;5monthsago(2021-10-05)"
"MozillaThunderbird","2003-07-28","0.1","2004-12-07","1.0","91.7.08March2022"
"Mulberry","1996-09-20","1.0","1996-09-20","1.0","4.0.8(February21,2007;15yearsago(2007-02-21))[±]"
"Mutt","1995","?","?","?","2.1.5(December30,2021;2monthsago(2021-12-30))[±]"
"NetscapeMessenger","?","?","?","?","7.2(August17,2007;14yearsago(2007-08-17))[±]"
"NetscapeMessenger9","2007-11-15","9.0a1","discontinued","discontinued","2007-11-15"
"nmh/MH","1979","?","?","?","1.5(June11,2012;9yearsago(2012-06-11))[±]"
"OperaMail","1996-09","2.1b1","1996-12","2.1","1.0.1044(February16,2016;6yearsago(2016-02-16))[±]"
"OutlookExpress","1996","3.0","?","?","6.0SP3(April21,2008;13yearsago(2008-04-21))[±]"
"PegasusMail","1990","?","1990","?","4.73(7June2018;3yearsago(2018-06-07))[±]"
"Pine","1992-01-15","2.00","1992-01-15","2.00","4.64(September28,2005;16yearsago(2005-09-28))[±]"
"Pocomail","1999","?","?","?","4.8build4400(April6,2009;12yearsago(2009-04-06))[±]"
"RoundCube","2006","0.1-rc1","2014-04-07","1.0.0","1.5-rc(3July2021;30December2021;Error:firstparametercannotbeparsedasadateortime.(3July2021;30December2021))"
"SeaMonkeyMail&Newsgroups","2005-09-15","1.0a","2006-01-30","1.0","2.53.10.2(December28,2021;2monthsago(2021-12-28))[±]"
"SquirrelMail","1999-12","0.1","2001-01","1.0","1.4.22(12July2011;10yearsago(2011-07-12))[±]"
"Sylpheed","2000-01","0.1.0","2004-12","1.0.0","3.7.0(January31,2018;4yearsago(2018-01-31))[±]"
"TheBat!","1997-03","1.0Beta","1998-03","1.00Build1310","9.5(December21,2021;2monthsago(2021-12-21))[±]"
"Trojitá","2009-08","0.1","2012-12","0.3.90","0.7(June15,2016;5yearsago(2016-06-15))[±]"
"Turnpike","1996(circa)","1.0","1996(circa)","1.0","6.06(May23,2006;15yearsago(2006-05-23))[±]"
"WindowsLiveMail","2007-11-06","12","2007-11-06","12","2012(v16.4.3528.0331)(November4,2014;7yearsago(2014-11-04))[±]"
"WindowsMail","?","?","?","?","2007-01-01"
"YAM","1995","1.0","1995","1.0","2.9p1(April18,2014;7yearsago(2014-04-18))[±]"
"Zimbra","2005-11","Beta","2006-03","3.5","8.6.0(December15,2014;7yearsago(2014-12-15))[±]"
