"","DesignAuthority","Softwarelicense"
"AutoCADDXF","",""
"Cartesiancoordinatesystem","",""
"GeographyMarkupLanguageGML","OpenGeospatialConsortium","?"
"GeoMedia","",""
"MapInfoTABformat","",""
"NationalTransferFormat","",""
"Shapefile","ESRI",""
"TIGER","",""
"VectorProductFormat(VPF)","",""
