"","OMF","AAF","MIDI","WAV","MP3","AAC","Ogg","REX2","AIFF","FLAC","Others"
"Acoustica","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","W64"
"Ardour","No","No","Yes","Yes","Yes","No","Yes","Unknown","Yes","Yes","W64,libsndfilelibraryformats"
"Audacity","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","AMR"
"AudioDesk","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","SDII(native)"
"Audiotool","No","No","No","Import","Export","No","Export","No","No","No",""
"Audition","Yes","Unknown","No(unsupportedsinceCS5)","Yes","Yes","Yes","Yes","No","Yes","Yes","AU,IFF,RAW/PCM,SMP,VOC,VOX,WMA"
"BIASPeak","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"BitwigStudio","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"CakewalkbyBandLab","Yes","No","Yes","Yes","Yes","Import","Yes","Yes","Yes","Yes","W64,CAF,SDII,AU,SND,DSF,DFF,RCY,ASF,WMA,WMV"
"Cubase","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","WMA,W64"
"DiamondCutART","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"DigitalPerformer","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","SDII(native)"
"Ecasound","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"FLStudio","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Import","Yes","XI,REX,REX2"
"GarageBand","No","No","Yes","Unknown","Yes","Yes","Unknown","Unknown","No","No",""
"Goldwave","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","WindowsMediaAudio,AU,Monkey'sAudio,VOX,mat,snd,voc"
"HarrisonMixbus","No","No","Yes","Yes","Unknown","Unknown","Yes","Unknown","No","Yes","AIFC,NeXTAU/SND,HeaderlessRAW,PAF,IFF/SVX,SphereNistWAV,IRCAMSF,VOC,W64,MAT4,MAT5,PVF,Fasttracker2XI,HMMToolKitHTK,CAF,SD2"
"","OMF","AAF","MIDI","WAV","MP3","AAC","Ogg","REX2","AIFF","FLAC","Others"
"Jokosher","No","No","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown",""
"Kristal","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Live","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","SDII(MacOSXOnly)"
"LMMS","Unknown","Unknown","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","Yes","AU,DS,RAW,SPX,VOC.Canalsoopen.flpfiles"
"LogicPro","Partial","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","Yes",""
"Mixcraft","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes",""
"mp3DirectCut","No","No","No","No","Yes","No","No","No","No","No",""
"MuLab","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No",""
"MusE","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"N-Track","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","WMA,EDL,WAV64"
"Nuendo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",""
"NU-Tech","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Podium","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"ProTools","Yes","Yes","Yes","Yes","Yes","Import","Import","Yes(7.4)","Yes","No","SDII(MacOSXOnly)"
"Qtractor","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","CAF,HTK,IFF/8SVX,MAT4/5,PAF,PVF,RAW,SDII,SDS,SF,VOC,W64,XI"
"REAPER","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","APE,BWF,MOOG,W64,WavPack"
"Reason","No","No","Yes","Yes","Import","Import","No","Yes","Yes","No","SF2,ReFill"
"Record","No","No","Yes","Yes","No","No","No","Yes","Yes","No","SF2,ReFill"
"","OMF","AAF","MIDI","WAV","MP3","AAC","Ogg","REX2","AIFF","FLAC","Others"
"Renoise","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","MP4,MP4A,CAF,SFZ"
"RiffWorks","No","No","No","Export","No","No","Export","Yes","No","No",""
"Rosegarden","No","No","Yes","Yes","Import","Unknown","Import","Unknown","Unknown","Import","Csound,Mup,MuxicXML,h2song"
"Samplitude","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","WMA,RealAudio"
"SoundForge","Unknown","Unknown","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes","Yes","SWF(openonly),RealAudio&RealVideo(exportonly),WMAandWMV,AVI,AIF,SND,MPEG-1andMPEG-2,AU,DIG,IVC,PCA,W64,FRG,VOX,AA3,OMA,CDA,AC-3studio(saveonly),RAW"
