"","ReWire","JACK","VST","VST3","LADSPA","LV2","DSSI","RTAS","AU","DXi","MAS"
"ACIDPro","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"Acoustica","No","No","Yes","Yes","No","No","No","No","Yes","No","No"
"Ardour","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No"
"Audacity","No","Yes","Yes","No","Yes","Yes","No","No","OnlyonOSX","No","No"
"AudioDesk","Returnsonly","No","Viaconverter","No","No","No","No","No","Yes","No","Yes"
"Audiotool","No","No","No","No","No","No","No","No","No","No","No"
"Audition","Partial(PreCS5.5-Yes,CS5.5-No)","Yes","Yes","Yes","No","No","No","No","Yes","Partial(PreCS5.5-Yes,CS5.5-No)","No"
"BIASPeak","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"BitwigStudio","No","Yes","Yes","Yes","No","No","No","No","No","No","No"
"CakewalkbyBandLab","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"Cubase","Yes","No","Yes","Yes","No","No","No","No","No","Terminated(SX3.1)","No"
"DiamondCutART","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"DigitalPerformer","Yes","No","Yes","Yes","No","No","No","Yes(withDigiTDMorHDhardwareviaDAE)","Yes","No","Yes"
"Ecasound","No","Yes","No","No","Yes","No","No","No","No","No","No"
"FLStudio","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"GarageBand","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Goldwave","No","No","Beta","Unknown","No","No","No","No","No","Yes","No"
"","ReWire","JACK","VST","VST3","LADSPA","LV2","DSSI","RTAS","AU","DXi","MAS"
"HarrisonMixbus","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No"
"Jokosher","No","No","No","Unknown","Yes","No","No","No","No","No","No"
"Kristal","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Live","Yes","No","Yes","Yes(Live10.1andnewer)","No","No","No","No","Yes","No","No"
"LMMS","No","Yes","Yes","Unknown","Yes","No","No","No","No","No","No"
"LogicExpress/Studio","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Mixcraft","Yes","No","Yes","Yes","No","No","No","No","No","DirectXeffectsonly","No"
"mp3DirectCut","No","No","No","No","No","No","No","No","No","No","No"
"MuLab","Yes","Unknown","Yes","No","No","No","No","No","No","No","No"
"MusE","No","Yes","Yes","Unknown","Yes","Yes","Yes","No","No","No","No"
"n-Track","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"Nuendo","Yes","No","Yes","Yes","No","No","No","No","No","No","No"
"NU-Tech","No","No","Yes","Unknown","No","No","No","No","No","No","No"
"Podium","Yes","No","Yes","No","No","No","No","No","No","No","No"
"ProTools","Yes","No","No","No","No","No","No","Beforeversion11","No","No","No"
"Qtractor","No","Yes","Yes","Unknown","Yes","Yes","Yes","No","Yes","No","No"
"","ReWire","JACK","VST","VST3","LADSPA","LV2","DSSI","RTAS","AU","DXi","MAS"
"REAPER","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No"
"Reason","Yes","No","Yes","No","No","No","No","No","No","No","No"
"Record","Yes","No","No","No","No","No","No","No","No","No","No"
"Renoise","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No"
"RiffWorks","Yes","No","Yes","Unknown","No","No","No","No","Yes","No","No"
"Rosegarden","No","Yes","No","No","Yes","No","Yes","No","No","No","No"
"Samplitude","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No"
"SoundForge","No","No","Yes","Unknown","No","No","No","No","Yes","Yes","No"
"Soundbooth","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Soundscape32","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SoX","No","No","No","No","Yes","No","No","No","No","No","No"
"SpectraLayers","No","No","Yes","Unknown","No","No","No","No","No","No","No"
"StudioOne","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No"
"Sweep","No","No","No","No","Yes","No","No","No","No","No","No"
"TotalRecorder","No","No","No","No","No","No","No","No","No","No","No"
"Waveform","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No"
"Traverso","No","Yes","No","Unknown","No","Yes","No","No","No","No","No"
"WaveLab","No","No","Yes","Yes","No","No","No","No","No","No","No"
"WavePad","No","No","Yes","No","No","No","No","No","No","Yes","No"
"WaveSurfer","No","No","No","No","No","No","No","No","No","No","No"
"","ReWire","JACK","VST","VST3","LADSPA","LV2","DSSI","RTAS","AU","DXi","MAS"
