"Company","Software","On-demandscan","On-accessscan","Firewall","AntiSpam","Webprotection","AntiTheft","Call/SMSFiltering","Backup","ParentalControl","Support","License","Price","Firstrelease","Countryoforigin","Notes"
"Intego","VirusBarrieriOS","Yes","No","Yes","No","No","No","No","No","No","Yes","Proprietary","Non-free","1997","UnitedStates","Discontinued"
"NortonLifelock(formerlySymantec)","NortonMobileSecurity","No","No","No","No","No","Yes","No","Yes","No","Yes","Proprietary","Non-free","2011","UnitedStates",""
"Bitdefender","BitdefenderMobileSecurity","No","No","No","No","No","Yes","No","No","No","No","Proprietary","Free,In-AppPurchasesforVPN","2018","Romania",""
"Seqrite","mSuiteMDM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","1994","India",""
"Company","Software","On-demandscan","On-accessscan","Firewall","AntiSpam","Webprotection","AntiTheft","Call/SMSFiltering","Backup","ParentalControl","Support","License","Price","Firstrelease","Countryoforigin","Notes"
