"NAME","ExportuniversalDXF","AvailableinAutoCADapplication","Curverecognition","Circlerecognition","Arcrecognition","Orthogonallinedetection","Cornerdetection","Lineconnection"
"EasyTrace","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GraphicTracerProfessional","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Illustrator","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Potrace","Yes","No","No","?","?","?","Yes","?"
"ImageTracer","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Scan2CAD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WinTopoPro","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"","ExportuniversalDXF","AvailableinAutoCADapplication","Curverecognition","Circlerecognition","Arcrecognition","Orthogonallinedetection","Cornerdetection","Lineconnection"
