"Country","Spacecraft","Power","Thrust","Specificimpulse","Yearlaunched"
"SouthKorea","DubaiSat-2","0.3kW","7mN","1000s","2013"
"China","Shijian17(HEP-100MF,magneticfocusinghallthruster)","1.4kW","","1850s","2016"
"China","Shijian17(LHT-100)","1.536kW","83mN","1600s","2016"
"China","Tiangongspacestation(HET-80)","1.35kW","80mN","1600s","2021"
