"Client","Windows","macOS","Linux","Web","Android","iOS"
"Briar","No","No","Yes","No","Yes","No"
"Discord","Yes","Yes","Yes","Yes","Yes","Yes"
"eBuddy","No","No","No","No","Yes","Yes"
"Element","Yes","Yes","Yes","Yes","Yes","Yes"
"Gadu-Gadu","Yes","Yes","Yes","Yes","Yes","Yes"
"Gajim","Yes","No","Yes","No","No","No"
"GoogleMessages(RCS)","No","No","Needsthird-partyclient","Yes","Yes","No"
"ICQ","Yes","Yes","Yes","Yes","Yes","Yes"
"Jami","Yes","Yes","Yes","Yes","Yes","Yes"
"Jitsi","Yes","Yes","Yes","Yes","Yes","Yes"
"Kadu","Yes","Yes","Yes","No","No","No"
"KakaoTalk","Yes","Yes","No","No","Yes","Yes"
"Keybase","Yes","Yes","Yes","No,partial","Yes","Yes"
"KikMessenger","No","No","No","No","Yes","Yes"
"Line","Yes","Yes","Asbrowserextension","No","Yes","Yes"
"Linphone","","","","","",""
"Mattermost","Yes","Yes","Yes","Yes","Yes","Yes"
"MCabber","No","Yes","Yes","No","No","No"
"Messages","No","Yes","No","No","No","Yes"
"Messenger","Yes","Yes","Needsthird-partyclient","Yes","Yes","Yes"
"Movim","Yes","Yes","Yes","Yes","Yes","Yes"
"Palringo","No","No","No","No","Yes","Yes"
"Paltalk","Yes","Yes","No","No","Yes","Yes"
"Pidgin","Yes","Yes","Yes","No","No","No"
"Psi","Yes","Yes","Yes","No","No","No"
"RetroShare","Yes","Yes","Yes","No","Yes","No"
"Ricochet","Yes","Yes","Yes","No","No","No"
"Sicher","No","No","No","No","Yes","Yes"
"Signal","Yes","Yes","Yes","No","Yes","Yes"
"SilentPhone","No","No","No","No","Yes","Yes"
"Skype","Yes","Yes","Yes","Yes","Yes","Yes"
"Slack","Yes","Yes","Yes","Yes","Yes","Yes"
"Snapchat","No","No","No","No","Yes","Yes"
"Surespot","No","No","No","No","Yes","Yes"
"TeamNote","No","No","No","Yes","Yes","Yes"
"Telegram","Yes","Yes","Yes","Yes","Yes","Yes"
"TencentQQ","Yes","Yes","Partial","Yes","Yes","Yes"
"Threema","No","No","No","Yes","Yes","Yes"
"Trillian","Yes","Yes","Yes","Yes","Yes","Yes"
"Viber","Yes","Yes","Yes","No","Yes","Yes"
"WeChat","Yes","Yes","Needsthird-partyclient","Yes","Yes","Yes"
"WhatsApp","Yes","Yes","Needsthird-partyclient","Yes","Yes","Yes"
"WickrMe","Yes","Yes","Yes","No","Yes","Yes"
"Wire","Yes","Yes","Yes","Yes","Yes","Yes"
"Client","Windows","macOS","Linux","Web","Android","iOS"
