"Model","CodeName","ReleaseDate","ProcessorsSupported","Fabricationprocess(nm)","FSB/HTFrequency(MHz)","Memory","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"GeForce9100M","MCP77MH,MCP79MH","2008","Core2Mobile,CeleronMobile","65nm","1066MHz","DDR3-1066dualchannel","2.020lanes","No","5Ports","12PortsRev2.0","No","4Ports3.0Gbit/s","1000Mbit/s","HDA","OnboardGeForce9100M",""
"GeForce9400M","MCP79MX","2008","Core2Mobile,CeleronMobile","65nm","1066MHz","DDR3-1066dualchannel","2.020lanes","x8+x8","5Ports","12PortsRev2.0","No","6Ports3.0Gbit/s","1000Mbit/s","HDA","OnboardGeForce9400M",""
"GeForce9400M(ION)","MCP7A-ION/MCP79MX","2009","Atom2xx/3xx","65nm","667MHz","DDR3-1066dualchannel","2.020lanes","No","5Ports","12PortsRev2.0","No","6Ports3.0Gbit/s","1000Mbit/s","HDA","OnboardGeForce9400M"
"GeForce320M","MCP89","2010","Core2Mobile(Penryn)","40nm","1066MHz","DDR3-1066dualchannel","2.0","","","","No","3.0Gbit/s","1000Mbit/s","HDA","OnboardGeForce320M","Usedin13”AppleMacBookProandMacBookAirmodelsin2010.Astaticamountof256MiBofsystemRAMusedasVRAM.SupportedDirectX10.1insteadof10.0,unlikeearlierchipsets.Similarly,audiow/videoissupportedoveritsmini-DPport,whereaspriorchipsetsonlysupportedvideoout.Upto16GBofRAMcanbeused,officialAppledocumentationisincorrect."
