"Java","C#"
"ArraysareimplicitlydirectspecializationsofObject.Theyarenotunifiedwithcollectiontypes.","ArraysinC#areimplicitspecializationsoftheSystem.Arrayclassthatimplementsseveralcollectioninterfaces."
"Arraysandcollectionsarecompletelyseparatewithnounification.Arrayscannotbepassedwheresequencesorcollectionsareexpected(thoughtheycanbewrappedusingArrays.asList).","Arrayscanbepassedwheresequences(IEnumerables)orcollections/listinterfacesareexpected.However,thecollectionoperationsthatalterthenumberofelements(insert/add/remove)willthrowexceptionsastheseoperationsareunsupportedbyarrays."
"TheforstatementacceptseitherarraysorIterables.AllcollectionsimplementIterable.Thismeansthatthesameshortsyntaxcanbeusedinfor-loops.","TheforeachstatementiteratesthroughasequenceusingaspecificimplementationoftheGetEnumeratormethod,usuallyimplementedthroughtheIEnumerableorIEnumerable<T>interface.Becausearraysalwaysimplicitlyimplementtheseinterfaces,theloopwilliteratethrougharraysalso."
"Inbothlanguagesarraysofreferencetypesarecovariant.ThismeansthataString[]arrayisassignabletovariablesofObject[],asStringisaspecializationof(assignableto)Object.Inbothlanguages,thearrayswillperformatypecheckwheninsertingnewvalues,becausetypesafetywouldotherwisebecompromised.Thisisincontrasttohowgenericcollectionshavebeenimplementedinbothlanguages.","Inbothlanguagesarraysofreferencetypesarecovariant.ThismeansthataString[]arrayisassignabletovariablesofObject[],asStringisaspecializationof(assignableto)Object.Inbothlanguages,thearrayswillperformatypecheckwheninsertingnewvalues,becausetypesafetywouldotherwisebecompromised.Thisisincontrasttohowgenericcollectionshavebeenimplementedinbothlanguages."
"Nomultidimensionalarrays(rectangulararrays),butarraysofreferencestoarrays(jaggedarrays).","Multidimensionalarrays(rectangulararrays),andarraysofreferencestoarrays(jaggedarrays)."
"Arrayscannotberesized(thoughuseoftheSystem.arraycopy()methodcanallowformulti-steparrayresizing)","ArrayscanberesizedwhilepreservingexistingvaluesusingtheArray.Resize()staticarraymethod(butthismayreturnanewarray)."
"Implementedasaretrofitforthejava.utillibraryhavingextrafeatures,likedatastructureslikesetsandlinkedsets,andhasseveralalgorithmstomanipulateelementsofacollection,likefindingthelargestelementbasedonsomeComparator<T>object,findingthesmallestelement,findingsublistswithinalist,reversethecontentsofalist,shufflethecontentsofalist,createimmutableversionsofacollection,performssorts,andmakebinarysearches.","TheC#collectionsframeworkconsistsofclassesfromtheSystem.CollectionsandtheSystem.Collections.Genericnamespaceswithseveralusefulinterfaces,abstractclasses,anddatastructures.NET3.5addedSystem.Linqnamespacethatcontainsvariousextensionmethodsforqueryingcollections,suchasAggregate,All,Average,Distinct,Join,Unionandmanyothers.QueriesusingthesemethodsarecalledLanguageIntegratedQuery(LINQ)."
