"kernel","HP","Softbank,ARMHoldings","Intel","MIPS","IBM","RenesasElectronics","Oracle","NXP","Oracle","RenesasElectronics","Cadence","RenesasElectronics","Socionext","RenesasElectronics","RenesasElectronics","Intel,Altera","Intel,Altera","RenesasElectronics","IBM","IBM","Intel","Intel","HP","HP","Softbank,ARMHoldings","Intel","MIPS","IBM","RenesasElectronics","Oracle","NXP","AnalogDevices","Xilinx","Cadence","Canon,AxisComm.","Socionext","Microchip,Atmel","CML,Hyperstone","Intel,Altera","WDC","SunplusTechnology","NVIDIA","TI"
"kernel","VAX","Alpha","ARM","x86","PA-RISC","ARM","MIPS","PowerPC","x86","i960","IA-64","MIPS","PowerPC","S/390","z/Arch","SuperH","SPARC","m68k","SPARC","H8300","Xtensa","M16C","M32R","78K","V850","SuperH","SPARC","NiosII","m68k","Blackfin(no-mmu)","MicroBlaze","Xtensa","ETRAXCRIS","FR-V","MN10300","AVR32","E1(no-mmu)","Nios(no-mmu)","NiosII","WDC65C816","S+core","Tilera","C6X"
"VAX","Alpha","PA-RISC","kernel","mmu","i960","IA-64","no-mmu","x86","S/390","z/Arch","H8300","M16C","M32R","78K","V850","x86-64","mmu","no-mmu","Blackfin(no-mmu)","MicroBlaze","32-bit","ETRAXCRIS","FR-V","MN10300","AVR32","E1(no-mmu)","Nios(no-mmu)","64-bit","WDC65C816","S+core","Tilera","C6X","mmu","no-mmu","32-bit","64-bit","no-mmu","mmu","no-mmu","mmu","no-mmu","mmu","no-mmu"
"DragonFlyBSDkernel","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"FreeBSDkernel","No","No","No","Yes","?","Yes","Yes","?","Yes","Yes","No","Yes","Yes","No","No","?","?","?","?","?","No","No","No","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Linuxkernel","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","No","4.16andbelowonly","No","2.6andbelowonly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4.16andbelowonly","Yes","Yes","Yes","4.16andbelowonly","4.16andbelowonly","4.16andbelowonly","4.12andbelowonly","No","No","Yes","Yes","No","4.16andbelowonly","4.16andbelowonly","Yes"
"MINIX3kernel","?","No","No","Yes","?","Yes","Inprogress","No","No","Inprogress","?","No","No","No","No","No","?","No","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"NetBSDkernel","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","Yes","No","Yes","No","No","No","?","?","?","?","?","Yes","No","Yes","Yes","No","Yes","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"NetWarekernel","No","No","No","No","No","Yes","No","?","No","No","No","No","No","No","No","?","?","?","?","?","No","No","No","No","No","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"OpenBSDkernel","lastsupportedrelease5.8","Yes","Yes","Yes","?","Yes","Yes","?","No","Yes","?","Yes","No","No","No","?","?","?","?","?","Yes","?","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Rockboxkernel","?","?","?","Yes","?","?","?","?","?","Yes","?","?","?","?","No","?","?","?","?","?","Yes","?","?","?","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Solariskernel","No","No","No","No","No","Yes","Yes","?","No","No","No","No","No","No","No","?","?","?","?","?","No","No","Yes","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"WindowsNTkernel","No","NT5.0RC1andbelowonly","No","Yes","No","Yes","Yes","No","XPand2003-2008R2only","NT4.0andbelowonly","No","NT3.51andNT4.0only","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"WindowsCEkernel","No","No","No","Yes","?","Yes","?","No","No","Yes","?","No","No","No","No","No","?","No","?","No","Yes","?","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"XNU","No","No","No","Yes","?","Yes","Yes","?","No","No","No","Yes","Yes","No","No","?","?","?","?","?","No","No","No","No","No","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SPARTANkernel","?","No","No","Yes","?","Yes","Yes","?","Yes","Yes","?","Yes","No","No","No","?","?","?","?","?","No","No","Yes","Yes","?","No","No","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FreeRTOSkernel","?","?","?","?","Yes","?","?","?","?","?","?","Yes","?","?","No","Yes","?","?","Yes","Yes","?","Yes","?","?","?","?","?","Yes","Yes","?","?","?","?","?","Yes","?","?","?","Yes","?","?","?","?"
