"Package","ProgrammingLanguage","Firstpublicreleasedate(YYYY-MM-DD)","Lateststablerelease","Stablereleasedate(YYYY-MM-DD)","DevelopmentStatus","Database","Supportedlanguages"
"Acumatica","C#,C++","2009-01-01","17.200.0401","2017-10-06","5-Production/Stable","MicrosoftSQL,MySQL","+100:UNICODE:English,Spanish,French,Chinese,Japanese,Malay,Khmer,Thai..."
"Adempiere","J2EE,JBoss","2006-10-12","3.8.0LTS","2015-01-02","5-Production/Stable","Oracle,PostgreSQL","+10:English,Spanish,French,..."
"ApacheOFBiz","Java,XML,FreeMarker,Groovy,Javascript","?","16.11.04","2018-01-02","5-Production/Stable","ApacheDerby,MSSQL,MySQL,Oracle,PostgreSQL","Multilingual"
"CGramSoftware","C,Java","1982","5.0.0","2009-08-01","5-Production/Stable","PostgreSQL","English"
"Compiere","J2EE,JBoss","2001-06-08","3.8.9","2016-09-13","5-Production/Stable","Oracle,AdvanceServer,MSSQL,PostgreSQL","+10:English,Germany,Spanish,French,Indonesia,..."
"GnuCash","C80%,Scheme/Lisp13%,Perl7%?","1999-11-08-Registered","3.8","2020-03-29","5-Production/Stable","XML(Compressed),SQLite3,MySQL,PostgreSQL","software:33languages;website:8languages"
"GNUEnterprise","Python100%","2002-06-28","1.4","2008-11-19","5-Production/Stable","PostgreSQL8.1+","2:English,German,"
"JFire","J2EE,JBoss,EclipseRCP,JDO","?","1.0.1","2010-03-20","?","MSSQL,Derby,...","English,German,Thai,..."
"LedgerSMB","Perl","2006-09-06","1.9.10","2022-02-22","5-Production/Stable","PostgreSQL9.6+","+40:Englishdevelopment,Multilingual(.pofilesGettext#Translating)"
"NewViews","C++,Tcl/Tk","1985","2.35.3","2022-02-14","5-Production/Stable","Proprietary,ObjectOriented","English"
"Openbravo","J2EE,JBoss","2006","3.0.30460","2017-03-09","5-Production/Stable","Oracle,PostgreSQL","English,German,Spanish(Spain),Spanish(Mexico),French,Italian,Dutch,Polish,Portuguese,Romanian,Russian,Chinese,Hebrew,Bulgarian,etc."
"Odoo","Python,Javascript","2005","13.0","2019-10-03","5-Production/Stable","PostgreSQL","+40Multilingual"
"SQL-Ledger","Perl","1999-01-29","3.2.4","2017-03-21","5-Production/Stable","PostgreSQL","30:English,..."
"Tryton","Python","2008-11-17","4.2","2016-11-28","5-Production/Stable","PostgreSQL,MySQL,SQLite","English,Bulgarian,Catalan,Czech,Dutch,French,German,Italian,Russian,Slovene,Spanish"
