"Name","Releaseyear","Market","Processor","Processor","DeviceID","Clockrate","APIsupport","APIsupport","APIsupport","Coreconfig","Clockrate","APIsupport","Memorybandwidth(GB/s)"
"Name","Releaseyear","Market","Codename","DeviceID","Coreconfig","Model","Min(MHz)","Memorybandwidth(GB/s)","Max(MHz)","Direct3D","OpenGL","OpenCL","Vulkan"
"UHDGraphics","2019","Mobile","IceLake","Corei3-1000G1Corei3-1005G1","8A58","256:32:4(GT1)","300","900","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"UHDGraphics","2019","Mobile","IceLake","Corei5-1035G1","8A56","256:32:4(GT1)","300","1050","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","2019","Mobile","IceLake","Corei3-1000G4","8A5C","384:48:6(GT1.5)","300","900","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","Corei5-1030G4","8A5C","384:48:6(GT1.5)","2019","Mobile","IceLake","1050","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","1050","Corei5-1035G4","2019","384:48:6(GT1.5)","Mobile","IceLake","8A5A","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","Corei5-1030G7Corei5-1030NG7","2019","Mobile","IceLake","8A51","512:64:8(GT2)","1050","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","8A51","512:64:8(GT2)","Corei7-1060G7Corei7-1060NG7","2019","Mobile","IceLake","1100","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","Corei5-1035G7","512:64:8(GT2)","2019","Mobile","IceLake","8A52","1050","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","8A52","Corei7-1065G7","512:64:8(GT2)","2019","Mobile","IceLake","1100","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","Corei5-1038G7","512:64:8(GT2)","2019","Mobile","IceLake","8A53","1050","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
"IrisPlusGraphics","8A53","Corei7-1068G7","512:64:8(GT2)","2019","Mobile","IceLake","1100","300","12FL12_1","4.64.6ES3.2","3.03.0","1.21.2","59.7"
