"Publication","Award"
"AmstradAction","2nd-bestratedgameinthehistoryofthemagazine"
"AmigaPower","2nd-bestAmigagameofalltime(1991)"
"Mega","23rd-bestgameofalltime(1994)"
"CGW","12th-bestgameofalltime(1996)"
"Edge","82nd-topgameofalltime(2007)"
"YourSinclair","20th-topZXSpectrumgameofalltime(1993,byreaders)"
"WirtualnaPolska","ThebestAmigagameofalltime(2011)"
"NextGeneration","8th-topgameofalltime(1996)"
