"Kernelname","Linux","Darwin","WindowsNT","FreeBSD","NetBSD","Solaris","OSF/1","AmigaUnix","SunOS","BSD/OS","iBCS2systems","IRIX","Ultrix","NDIS","SVR4"
"FreeBSDkernel","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes"
"Linuxkernel","Yes","No","(Longene)","Yes","Yes","No","No","No","No","No","No","No","No","(NDISwrapper)","No"
"NetBSDkernel","Yes","No?[3]?","No?[4]?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenBSDkernel","Yes","No","No","Yes","Yes","Yes","No","No","Yes","?","?","?","?","No","Yes"
"WindowsNTkernel","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No"
"ReactOSkernel","No","No","Yes","No","No","No","No","No","No","No","No","No","No","?","No"
"XNU","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Kernelname","Linux","Darwin","WindowsNT","FreeBSD","NetBSD","Solaris","OSF/1","AmigaUnix","SunOS","BSD/OS","iBCS2systems","IRIX","Ultrix","NDIS","SVR4"
