"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","ClockSpeeds","Memory","Fillrate","Processingpower(GFLOPS)","Memory","Memory","ClockSpeeds","ClockSpeeds","Memory","Fillrate","Processingpower(GFLOPS)","TDP(Watts)","SLIsupport","Releaseprice(USD)"
"Model","Launch","Codename","Process","Transistors(billion)","Diesize(mm)","Coreconfig","Businterface","L2Cache(MB)","Base(MHz)","Boost(MHz)","Memory(MT/s)","Size(GiB)","TDP(Watts)","SLIsupport","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Pixel(GP/s)","Texture(GT/s)","Singleprecision","Doubleprecision","MSRP"
"GeForceGT945A","February,2016","GM108","TSMC28HP","Unknown","Unknown","512:24:8(4)","PCIe3.0x8","?","1072","1176","1800","1/2","14.4","DDR3/GDDR5","64","8.59.4","25.728.2","1?097.71?204.2","34.337.6","33","No","OEM"
"GeForceGTX950","August20,2015","GM206-250","TSMC28HP","2.94","227","768:48:32(6)","PCIe3.0x16","1","1024","1188","6600","2","105.7","GDDR5","128","32.738.0","49.157.0","1?572.81?824.7","49.157.0","90(75)","2-waySLI","$159"
"GeForceGTX950(OEM)","Unknown","GM206","2.94","227","TSMC28HP","PCIe3.0x16","1","1024:64:32(8)","935","Unknown","2","5000","GDDR5","128","80.0","29.9","59.8","1?914.9?","59.8","2-waySLI","Unknown","OEM"
"GeForceGTX960","January22,2015","GM206-300","1024:64:32(8)","2.94","227","TSMC28HP","PCIe3.0x16","1","1127","1178","7000","24","112.1","GDDR5","128","36.037.6","72.175.3","2?308.02?412.5","72.175.3","120","2-waySLI","$199"
"GeForceGTX960(OEM)","Unknown","GM204","TSMC28HP","5.2","398","PCIe3.0x16","1","1280:80:48(10)","924","Unknown","5000","3","GDDR5","120.0","192","44.3","73.9","2?365.4?","73.9","2-waySLI","Unknown","OEM"
"GeForceGTX970","September18,2014","GM204-200","5.2","398","TSMC28HP","1664:104:56(13)","1.75","PCIe3.0x16","1050","1178","7000","3.5+0.5","196.3+28.0","224+32","GDDR5","58.865.9","109.2122.5","3?494.43?920.3","109.2122.5","145","4-waySLI","$329"
"GeForceGTX980","September18,2014","GM204-400","5.2","398","TSMC28HP","2048:128:64(16)","7000","2","PCIe3.0x16","1126","1216","4","224.3","256","72.077.8","4-waySLI","GDDR5","144.1155.6","4?612.04?980.7","144.1155.6","165","$549"
"GeForceGTX980Ti","June1,2015","GM200-310","TSMC28HP","8","601","PCIe3.0x16","7000","2816:176:96(22)","3","1000","1075","6","336.5","GDDR5","384","4-waySLI","96.0103.2","176.0189.2","5?632.06?054.4","176.0189.2","250","$649"
"GeForceGTXTITANX","March17,2015","GM200-400","8","601","TSMC28HP","3","1000","1075","3072:192:96(24)","336.5","384","96.0103.2","12","PCIe3.0x16","7000","250","192.0206.4","6?144.06?604.8","192.0206.4","$999","GDDR5","4-waySLI"
