"MedievalSpanishandPortuguese","MedievalSpanishandPortuguese","ModernPortuguese","ModernPortuguese","ModernSpanish","ModernSpanish","ModernSpanish"
"Spelling","Pronunciation","Pronunciation","Examples","Spelling","Pronunciation","Examples"
"s-,-ss-","/s/","/s/","saber'toknow',passar'topass'","s","/s/","saber,pasar"
"-s-","/z/","/z/","casa'house'","s","/s/","casa"
"ç/c","/ts/","/s/","açor'hawk',cego'blind'","z/c","/?/or/s/","azor,ciego"
"z","/dz/","/z/","fazer'todo'","z/c","/?/or/s/","hacer"
"x","/?/","/?/","oxalá'Ihope;Godgrant'","j/g","/x/","ojalá"
"j/g","/d?~?/","/?/","jogar'toplay',gente'people'","j/g","/x/","jugar,gente"
"ch","/t?/","/?/","chuva'rain'","ch","/t?/","chubasco'cloudburst'(fromPort.chuvasco)"
