"Client","E2EE","E2EE","Encryptedlocalstorage","Filetransfer","Voicemessages","Voicechat","Videochat"
"Client","Individual","Encryptedlocalstorage","Filetransfer","Voicemessages","Voicechat","Videochat","Groups"
"Briar","Yes","Yes","Yes","No","No","No","No"
"Discord","No","No","","Yes","No","Yes","Yes"
"eBuddy","Yes","Yes","","Yes","Yes","Yes","Yes"
"Element","Yes","Yes","","Yes","Yes","Yes","Yes"
"Gadu-Gadu","No","No","","Yes","Yes","Yes",""
"Gajim","Yes","Plug-in","","Yes","No","No","No"
"GoogleMessages(RCS)","Yes","No","","Yes","Yes","Yes","Yes"
"ICQ","No","No","","Yes","No","Yes","Yes"
"Jami","Yes","","","Yes","Yes","Yes","Yes"
"Jitsi","Yes","","","Yes","Yes","Yes","Yes"
"Kadu","No","No","","Yes","No","Yes","No"
"KakaoTalk","Yes","Yes","","Yes","","",""
"Keybase","Yes","Yes","","Yes","No","No","No"
"KikMessenger","No","No","","Yes","","",""
"Line","Partial","Yes","","Yes","Yes","Yes","Yes"
"Linphone","","","","","","",""
"Mattermost","No","No","","Yes","Plug-in","Plug-in","Plug-in"
"MCabber","No","No","","No","No","No","No"
"Messages","Yes","Yes","","Yes","Yes","Yes","Yes"
"Messenger","Yes","No","","Yes","Yes","Yes","Yes"
"Movim","Yes","Forprivategroup","","Yes","No","Yes","Yes"
"Palringo","No","No","","No","No","Yes","No"
"Paltalk","No","No","","Yes","","Yes","Yes"
"Pidgin","Yes","","","No","No","Partial","Yes"
"Psi","Yes","Yes","","Yes","Yes","Partial","Partial"
"RetroShare","Yes","Yes","","Yes","","",""
"Ricochet","Yes","","","","","",""
"Sicher","Yes","Yes","","Yes","","",""
"Signal","Yes","Yes","Partial","Yes","Yes","Yes","Yes"
"SilentPhone","Yes","Yes","","Yes","","",""
"Skype","Yes","No","","Yes","Yes","Yes","Yes"
"Slack","No","No","","Yes","","",""
"Snapchat","No","No","","No","Yes","Yes","Yes"
"Surespot","Yes","Nogroupchat","","Yes","Yes","Yes","No"
"TeamNote","","","","","Yes","","No"
"Telegram","SecretChats","No","No","Yes","Yes","Yes","Yes"
"TencentQQ","No","No","","Yes","No","Yes","Yes"
"Threema","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Trillian","No","No","","Yes","Partial","Yes","Yes"
"Viber","Yes","Yes","","Yes","Yes","Yes","Yes"
"WeChat","No","No","","Yes","Yes","Yes","Yes"
"WhatsApp","Yes","Yes","No","Yes","Yes","Yes","Yes"
"WickrMe","Yes","Yes","","Yes","Yes","Yes","Yes"
"Wire","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Client","E2EE","E2EE","Encryptedlocalstorage","Filetransfer","Voicemessages","Voicechat","Videochat"
"Client","Individual","Encryptedlocalstorage","Filetransfer","Voicemessages","Voicechat","Videochat","Groups"
