"Graphics","Launch","Market","Chipset","Codename","DeviceID","Corerenderclock(MHz)","Pixelpipelines","Shadermodel(vertex/pixel)","APIsupport","APIsupport","APIsupport","Hardwareacceleration","Hardwareacceleration","Memorybandwidth(GB/s)","DVMT(MB)","Hardwareacceleration"
"Graphics","Launch","Market","Chipset","Codename","DeviceID","Corerenderclock(MHz)","Pixelpipelines","Shadermodel(vertex/pixel)","Direct3D","Memorybandwidth(GB/s)","DVMT(MB)","OpenGL","OpenCL","MPEG-2","VC-1","AVC"
"ExtremeGraphics","2002","Desktop","845G845GL845GV","Brookdale","2562","200","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","2.1","64","MC","No","No"
"ExtremeGraphics","2001","Mobile","830M830MG","Almador","3577","166","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","1","64","MC","No","No"
"ExtremeGraphics2","2003","Desktop","865G865GV","Springdale","2572","266","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","6.4","64","MC","No","No"
"ExtremeGraphics2","2003","Mobile","852GM852GME852GMV","Montara","3582","133–266","2.1–2.7","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","64","MC","No","No"
"Mobile","ExtremeGraphics2","Montara","2003","133–266","2.1–2.7","854","358E","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","64","MC","No","No"
"Mobile","ExtremeGraphics2","Montara","2003","133–266","2.1–2.7","855GM855GME","3582","2","3.0(SW)/No","6.0(full)9.0(somefeatures,nohardwareshaders)","1.3ES1.1","No","64","MC","No","No"
