"Syntax","Language(s)"
"'Hello,world!'","APL,Bourneshell,Fortran,ObjectPascal,Pascal,Perl,PHP,PickBasic,Ruby,WindowsPowerShell,Smalltalk"
"q(Hello,world!)","Perl(alternate)"
"%q(Hello,world!)","Ruby(alternate)"
"R""(Hello,world!)""","C++11"
"@""Hello,world!""","C#,F#"
"r""Hello,world!""","Cobra,D,Python,Rust"
"""Hello,world!""","Cobol,FreeBASIC,PickBasic"
"`Hello,world!`","D,Go"
"raw""Hello,world!""","Scala"
"String.raw`Hello,World!`","JavaScript(ECMAScript6)"
