"","FAT12","FAT16","FAT32","HPFS","ISO9660","NTFS","UDF(MoreInfo)","ReFS"
"WindowsPhone8","?","Yes","Yes","No","?","Yesv5","?","No"
"WindowsPhone8.1","?","Yes","Yes","No","?","Yesv5","?","No"
"Windows10Mobile","?","Yes","Yes","No","?","Yesv5","?","?"
