"IDE","Developer","Lateststablerelease","Platform","License","Autocomplete","Debugger","Refactoringsupport","VCSSupport"
"AdobeDreamweaver","AdobeSystems","-","Cross-platform","Proprietary","Yes","No","No","No"
"AptanaStudio","Aptana,Inc.","December2013,3.5.0","Cross-platform","GPL,proprietary","Yes","Yes","No","viaplugins"
"CodeLite","CodeLite","October2015,9.0","Cross-platform","GPL","Yes","Yes","No","Git,SVN"
"Codelobster","Codelobster","March2018,5.14.5","Windows","Proprietary","Yes","Yes","No","viaplugins"
"EclipseChe","EclipseFoundation/Zend","4.7/September2,2016","Cross-platform","EPL","Yes","Yes","Yes","Unknown"
"EclipsePDT","EclipseFoundation/Zend","7.0/December18,2019","Windows,Linux,macOS,FreeBSD,JVM,Solaris","EPL","Yes","Yes","Yes","CVS,Git,Mercurial,SVN(viaplugins)"
"Geany","GeanyTeam","1.37.1/November8,2020","Windows,Linux,macOS,FreeBSD,AIX,OpenBSD,Solaris,otherUnix","GPL","Yes","No","No","viaplugins"
"HTML-Kit","Chami.com","292","Windows(all)","Proprietary","Unknown","No","Unknown","Unknown"
"HyperEdit","JonathanDeutsch/Tumult","1.6/April30,2008","macOS","Proprietary","Yes","No","No","No"
"KDevelop","KDEKDevelopTeam","5.5.1(May5,2020;22monthsago(2020-05-05))[±]","Cross-platform","GPL","Yes","No","Unknown","CVS,Git,SVN"
"KomodoIDE/Edit","ActiveState","10.0.1(June2016)","Cross-platform","Proprietary","Yes","Yes","Yes","Bazaar,CVS,Git,Mercurial,Perforce,SVN"
"NetBeans","SunMicrosystems/Oracle","12.6(29November2021)[±]","Cross-platformonNetbeans","ApacheLicense","Yes","Yes","Yes","CVS,Git,Mercurial,SVN"
"PHPEclipse(Eclipse)","PHPEclipseprojectteam","1.2.2/September2009","Windows,Linux,macOS,FreeBSD,JVM,Solaris","CPL","Yes","Yes","Unknown","Unknown"
"PhpEDProfessional","NuSphereCorporation","19.111/May,2019","Windows","Proprietary","Yes","Yes","Unknown","CVS,SVN,anyotherWindows-shellintegrated"
"PHPEdit","WaterProofSARL","3.6.4(April9,2010;11yearsago(2010-04-09))[±]","Windows","Proprietary","Yes","Yes","No","CVS,SVN"
"PhpStorm(IntelliJIDEA)","JetBrains","2019.1/28March2019","Windows,Linux,macOS,FreeBSD,OpenBSD,Solaris","Proprietary","Yes","Yes","Yes","CVS,Git,Mercurial,Perforce,SVN"
"QuantaPlus","KDEWebDevTeam","3.5.8/October16,2007","Linux","GPL","Unknown","No","Unknown","Unknown"
"RadPHP(formerlyDelphiforPHP)","EmbarcaderoTechnologies","XE2/August30,2011","Windows","Proprietary","Yes","Yes","Yes","Unknown"
"SlickEdit","SlickEdit","October2016","Windows,Linux,macOS,AIX,HP-UX,Solaris","Proprietary","Yes","Yes","No","Yes"
"ZendStudio","Zend","10.6/February2014","Cross-platform","Proprietary","Yes","Yes","Yes","CVS,Git,SVN,others(viaplugins)"
