"Filemanager","Family","UI","Iconview","Listview","Columnview","Thumbnails","Details+Thumbs","Grouping","Contentdependent","Twinpanel","Favorites/Bookmark","Paneltabs"
"AltapSalamander","Orthodox","GUI","Yes","Yes","Yes","Yes","No","No","No","Yes","Partial","No"
"CommanderOne","Orthodox","GUI","Yes","Yes","Yes","Yes","?","?","No","?","Yes","Yes"
"DemosCommander","Orthodox","Text","?","Yes","?","?","?","?","?","Yes","?","?"
"DirectoryOpus","Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dired","Orthodox","Text","?","Yes","?","Yes,onGUI","Yes,onGUI","?","?","Yes,oneormore","Partial(bookmarks)","Yes(showtab-baroptional)"
"Dolphin","Navigational","GUI","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"DoubleCommander","Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DOSNavigator","Orthodox","Text","?","Yes","?","?","?","?","?","Yes","?","?"
"emelFM2","Orthodox","GUI","No","Yes","No","Yes","?","No","No","Yes","?","No"
"FARManager","Orthodox","Text","Partial","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Partial"
"FileCommander","Orthodox","Text","No","Yes","Yes","No","Partial","Yes","No","Yes","No","No"
"FileManager","Orthodox","GUI","Yes","Yes","No","?","?","?","?","Yes","No","No"
"Files(Apple)","","GUI","Yes","","","Yes","Yes","","","","",""
"FilesbyGoogle","","GUI","","","","","","","","","",""
"Finder","Spatial/MillerColumns","GUI","Yes","Yes","Yes","Yes","Yes,withCoverFlow","Yes","No","No","Yes","Yes"
"ForkLift","Orthodox","GUI","Yes","Yes","Yes","Yes","Partial","Yes","No","Yes","Yes","Yes"
"gentoo","Orthodox","GUI","?","Yes","?","?","?","?","?","Yes","?","?"
"GNOMECommander","Orthodox","GUI","No","Yes","No","No","?","No","No","Yes","?","Yes"
"Konqueror","Navigational/Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Krusader","Orthodox","GUI","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes"
"MidnightCommander","Orthodox","Text","No","Yes","Yes","?","?","?","Yes","Yes","Yes","?"
"GNOMEFiles(Nautilus)","Navigational/Spatial","GUI","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes"
"Nemo","Navigational/Spatial","GUI","Yes","Yes","Yes","Yes","Yes","No","No","Yes,press[F3]","Yes","Yes"
"Nomad.NET","Orthodox","GUI","Yes","Yes","Yes","Yes","?","Yes","Partial,Manual","Yes","Yes","Yes,Shared"
"PathFinder","Navigational","GUI","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
"PCManFM","Navigational","GUI","Yes","Yes","Yes","Yes","Yes","?","No","Yes","Yes","Yes"
"ROX-Filer","Spatial","GUI","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No"
"STDUExplorer","Navigational","GUI","Yes","Yes","Yes","Yes","No","No","No","No","No","No"
"TotalCommander","Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","Yes","YesInviewing","Yes","Yes","Yes"
"Thunar","Navigational","GUI","Yes","Yes","Yes","Yes","Yes","No","?","No","Yes","Yes"
"VolkovCommander","Orthodox","Text","?","Yes","?","?","?","?","?","Yes","?","?"
"WindowsExplorer","Navigational/Spatial","GUI","Yes","Yes","Yes","Yes","Partial","Yes","Yes","No","Yes","No"
"XandrosFileManager","Navigational","GUI","Yes","?","?","?","?","?","?","?","?","?"
"Xfe","HybridNavigational","GUI","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No"
"Xfm","Spatial","GUI","Yes","No","No","No","No","?","?","No","?","No"
"xplorer²","HybridNavigational/Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XYplorer","HybridNavigational/Orthodox","GUI","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"ZTreeWin","Orthodox","Text","No","Yes","Yes","No","Partial","Yes","No","Yes","Yes","No"
"Filemanager","Family","UI","Iconview","Listview","Columnview","Thumbnails","Details+Thumbs","Grouping","Contentdependent","Twinpanel","Favorites/Bookmark","Paneltabs"
