"","callingafunction","basic/voidfunction","value-returningfunction","requiredmainfunction"
"Ada","foo«(parameters)»","procedurefoo«(parameters)»isbeginstatementsendfoo","functionfoo«(parameters)»returntypeisbeginstatementsendfoo","N/A"
"ALGOL68","foo«(parameters)»;","procfoo=«(parameters)»void:(instructions);","procfoo=«(parameters)»rettype:(instructions...;retvalue);","N/A"
"APL","«parameters»fooparameters","foo?{statements}","foo?{statements}","N/A"
"C(C99)","foo(«parameters»)","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}","«globaldeclarations»intmain(«intargc,char*argv[]»){instructions}"
"Objective-C","foo(«parameters»)","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}","«globaldeclarations»intmain(«intargc,char*argv[]»){instructions}"
"C++(STL)","foo(«parameters»)","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}","«globaldeclarations»intmain(«intargc,char*argv[]»){instructions}"
"Java","foo(«parameters»)","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}","publicstaticvoidmain(String[]args){instructions}orpublicstaticvoidmain(String...args){instructions}"
"D","foo(«parameters»)","voidfoo(«parameters»){instructions}","typefoo(«parameters»){instructions...returnvalue;}","intmain(«char[][]args»){instructions}orintmain(«string[]args»){instructions}orvoidmain(«char[][]args»){instructions}orvoidmain(«string[]args»){instructions}"
"C#","foo(«parameters»)","Sameasabove;alternatively,ifonlyonestatement:voidfoo(«parameters»)=>statement;","Sameasabove;alternatively,ifsimpleenoughtobeanexpression:voidfoo(«parameters»)=>expression;","staticvoidMain(«string[]args»)method_bodyMayinsteadreturnint.(startingwithC#7.1:)MayreturnTaskorTask<int>,andifso,maybeasync."
"JavaScript","foo(«parameters»)","functionfoo(«parameters»){instructions}orvarfoo=function(«parameters»){instructions}orvarfoo=newFunction(«""parameter"",...,""lastparameter""»""instructions"");","functionfoo(«parameters»){instructions...returnvalue;}","N/A"
"Go","foo(«parameters»)","funcfoo(«parameters»){instructions}","funcfoo(«parameters»)type{instructions...returnvalue}","funcmain(){instructions}"
"Swift","foo(«parameters»)","funcfoo(«parameters»){instructions}","funcfoo(«parameters»)->type{instructions...returnvalue}","N/A"
"CommonLisp","(foo«parameters»)","(defunfoo(«parameters»)instructions)or(setf(symbol-function'symbol)function)","(defunfoo(«parameters»)...value)","N/A"
"Scheme","(foo«parameters»)","(define(fooparameters)instructions)or(definefoo(lambda(parameters)instructions))","(define(fooparameters)instructions...return_value)or(definefoo(lambda(parameters)instructions...return_value))","N/A"
"ISLISP","(foo«parameters»)","(defunfoo(«parameters»)instructions)","(defunfoo(«parameters»)...value)","N/A"
"Pascal","foo«(parameters)»","procedurefoo«(parameters)»;«forward;»«labellabeldeclarations»«constconstantdeclarations»«typetypedeclarations»«varvariabledeclarations»«localfunctiondeclarations»begininstructionsend;","functionfoo«(parameters)»:type;«forward;»«labellabeldeclarations»«constconstantdeclarations»«typetypedeclarations»«varvariabledeclarations»«localfunctiondeclarations»begininstructions;foo:=valueend;","programname;«labellabeldeclarations»«constconstantdeclarations»«typetypedeclarations»«varvariabledeclarations»«functiondeclarations»begininstructionsend."
"VisualBasic","Foo(«parameters»)","SubFoo«(parameters)»instructionsEndSub","FunctionFoo«(parameters)»«Astype»instructionsFoo=valueEndFunction","SubMain()instructionsEndSub"
"VisualBasic.NET","Foo(«parameters»)","SubFoo«(parameters)»instructionsEndSub","Sameasabove;alternatively:FunctionFoo«(parameters)»«Astype»instructionsReturnvalueEndFunctionTheAsclauseisnotrequiredifOptionStrictisoff.AtypecharactermaybeusedinsteadoftheAsclause.Ifcontrolexitsthefunctionwithoutareturnvaluehavingbeenexplicitlyspecified,thefunctionreturnsthedefaultvalueforthereturntype.","SubMain(««ByVal»args()AsString»)instructionsEndSuborFunctionMain(««ByVal»args()AsString»)AsIntegerinstructionsEndFunction"
"Xojo","Sameasabove;alternatively:FunctionFoo«(parameters)»«Astype»instructionsReturnvalueEndFunctionTheAsclauseisnotrequiredifOptionStrictisoff.AtypecharactermaybeusedinsteadoftheAsclause.Ifcontrolexitsthefunctionwithoutareturnvaluehavingbeenexplicitlyspecified,thefunctionreturnsthedefaultvalueforthereturntype.","SubMain(««ByVal»args()AsString»)instructionsEndSuborFunctionMain(««ByVal»args()AsString»)AsIntegerinstructionsEndFunction","Foo(«parameters»)","SubFoo«(parameters)»instructionsEndSub"
"Python","foo(«parameters»)","deffoo(«parameters»):Tab?instructions","deffoo(«parameters»):Tab?instructionsTab?returnvalue","N/A"
"S-Lang","foo(«parameters»«;qualifiers»)","definefoo(«parameters»){instructions}","definefoo(«parameters»){instructions...returnvalue;}","publicdefineslsh_main(){instructions}"
"Fortran","foo(«arguments»)CALLsub_foo(«arguments»)","SUBROUTINEsub_foo(«arguments»)instructionsENDSUBROUTINE","typeFUNCTIONfoo(«arguments»)instructions...foo=valueENDFUNCTION","PROGRAMmaininstructionsENDPROGRAM"
"Forth","«parameters»FOO",":FOO«stackeffectcomment:(before--)»instructions;",":FOO«stackeffectcomment:(before--after)»instructions;","N/A"
"PHP","foo(«parameters»)","functionfoo(«parameters»){instructions}","functionfoo(«parameters»){instructions...returnvalue;}","N/A"
"Perl","foo(«parameters»)or&foo«(parameters)»","subfoo{«my(parameters)=@_;»instructions}","subfoo{«my(parameters)=@_;»instructions...«return»value;}","N/A"
"Raku","foo(«parameters»)or&foo«(parameters)»","«multi»subfoo(parameters){instructions}","«our«type»»«multi»subfoo(parameters){instructions...«return»value;}","N/A"
"Ruby","foo«(parameters)»","deffoo«(parameters)»instructionsend","deffoo«(parameters)»instructions«return»valueend","N/A"
"Rust","foo(«parameters»)","fnfoo(«parameters»){instructions}","fnfoo(«parameters»)->type{instructions}","fnmain(){instructions}"
"Scala","foo«(parameters)»","deffoo«(parameters)»«:Unit=»{instructions}","deffoo«(parameters)»«:type»={instructions...«return»value}","defmain(args:Array[String]){instructions}"
"WindowsPowerShell","foo«parameters»","functionfoo{instructions};orfunctionfoo{«param(parameters)»instructions}","functionfoo«(parameters)»{instructions…returnvalue};orfunctionfoo{«param(parameters)»instructions…returnvalue}","N/A"
"Bashshell","foo«parameters»","functionfoo{instructions}orfoo(){instructions}","functionfoo{instructionsreturn«exit_code»}orfoo(){instructionsreturn«exit_code»}","N/A"
"parameters$n($1,$2,$3,...)$@(allparameters)$#(thenumberofparameters)$0(thisfunctionname)","Bashshell","foo«parameters»","parameters$n($1,$2,$3,...)$@(allparameters)$#(thenumberofparameters)$0(thisfunctionname)","N/A"
"OCaml","fooparameters","let«rec»fooparameters=instructions","let«rec»fooparameters=instructions...return_value","N/A"
