"Format","Type","License","MKV","MP4","QTFF","ASF","AVI","MXF","PS,TS","M2TS","VOB","EVO","3GP,3G2","F4V","FLV","Ogg","WebM"
"MPEG-HHEVC","Lossyorlossless","Patentencumbered","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No"
"MPEG-4AVC","Lossyorlossless","Patentencumbered","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Notstandard","No","No"
"AV1","Lossyorlossless","Patentclaims","Beta","Yes","No","No","No","No","Planned","No","No","No","No","No","No","No","Beta"
"VP9","Lossyorlossless","Patentclaims","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","NeedsFirefox","Yes"
"VP8","Lossyorlossless","Patentclaims","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","NeedsFirefox","Yes"
"Dirac","Lossyorlossless","Patent-free","VCM","No","Notstandard","No","NeedsDirac","No","Private","No","No","No","No","No","No","Yes","No"
"MVC","Stereoscopic","Patentencumbered","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"MPEG-1Video","Lossy","Patent-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"MPEG-2Video","Lossy","Expiredpatents","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","NeedsVLC","No"
"MPEG-4Visual","Lossy","Patentencumbered","Yes","Yes","Firstedition","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","NeedsVLC","No"
"MicrosoftMPEG4V2","Lossy","Patentencumbered,proprietary","Yes","Notstandard","Notstandard","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"VC-1","Lossy","Patentencumbered","VCM","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","NeedsVLC","No"
"H.263","Lossy","Patentencumbered","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No"
"Theora","Lossy","Freelicense","Yes","No","No","No","Needsffdshow","No","No","No","No","No","No","No","No","Yes","No"
"Cinepak","Lossy","Proprietary","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"Sorenson","Lossy","Proprietary","Yes","No","Versions1and3","No","Version1","No","No","No","No","No","No","No","Spark","No","No"
"RealVideo","Lossy","Proprietary","RV10,RV20,RV30,RV40","RV60","No","No","Notstandard","No","No","No","No","No","No","No","No","No","No"
"VP6","Lossy","Proprietary","No","No","No","No","NeedsVP6","No","No","No","No","No","No","No","Yes","No","No"
"DV","Intra-frame","Proprietary","VCM","DVCPROHD","DV25","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"M-JPEG","Intra-frame","Expiredpatents","VCM","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"MJ2","Intra-frame","Patentencumbered","No","Yes","No","No","Notstandard","Yes","No","No","No","No","No","No","No","No","No"
"AppleProRes","Intra-frame","Proprietary","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No"
"HuffYUV","Lossless","Opensource","VCM","No","No","No","NeedsHuffYUV","No","No","No","No","No","No","No","No","No","No"
"YCbCr","Notcompressed","Patent-free","Yes","SheerVideo","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Planned","No"
"Other","Other","Varies","—","—","DVCPro50,PhotoJPEG,Graphics,QuickTimeAnimation","—","Indeo","—","JPEG2000,TICO","—","—","—","—","—","ScreenVideo","MNG,JNG,PNG","—"
