"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce410M","January5,2011","GF119","40","PCIe2.0x16","48:8:4","575","1150","1600","2.3","4.6","512","12.8","DDR3","64","12","4.5","110.4","12","SimilartoDesktopGT420OEM"
"GeForceGT415M","September3,2010","GF108","40","PCIe2.0x16","48:8:4","500","1000","1600","2","4","512","25.6","DDR3","128","12","4.5","96","<12(GPUonly)","SimilartoDesktopGT420OEM"
"GeForceGT420M","September3,2010","GF108","500","1000","2","96:16:4","25.6","128","8","40","PCIe2.0x16","192","10–23(GPUonly)","SimilartoDesktopGT430","1600","512","DDR3","12","4.5"
"GeForceGT425M","96:16:4","September3,2010","GF108","560","SimilartoDesktopGT430","1120","40","PCIe2.0x16","25.6","128","2.24","8.96","1024","1600","215.04","20–23(GPUonly)","DDR3","12","4.5"
"GeForceGT435M","96:16:4","September3,2010","GF108","650","1300","40","PCIe2.0x16","25.6","128","2.6","10.4","2048","1600","249.6","32–35(GPUonly)","SimilartoDesktopGT430/440","DDR3","12","4.5"
"GeForceGT445M","September3,2010","GF106","144:24:16144:24:24","40","PCIe2.0x16","590","1180","16002500","9.4414.16","14.16","10241536","25.660","DDR3GDDR5","128192","339.84","12","4.5","30–35(GPUonly)","SimilartoDesktopGTS450OEM)"
"GeForceGTX460M","GF106","September3,2010","192:32:24","675","40","PCIe2.0x16","1350","2500","16.2","21.6","1536","60","GDDR5","192","518.4","45–50(GPUonly)","12","4.5","SimilartoDesktopGTX550Ti"
"GeForceGTX470M","September3,2010","GF104","288:48:24","2500","40","PCIe2.0x16","1536","60","GDDR5","192","550","45–50(GPUonly)","1100","13.2","26.4","633.6","SimilartoDesktopGTX460/560SE","12","4.5"
"GeForceGTX480M","May25,2010","GF100","40","PCIe2.0x16","352:44:32","425","850","2400","GDDR5","13.6","18.7","2048","76.8","256","598.4","12","4.5","100(MXMmodule)","SimilartoDesktopGTX465"
"GeForceGTX485M","January5,2011","GF104","40","PCIe2.0x16","384:64:32","575","1150","3000","2048","GDDR5","256","18.4","100(MXMmodule)","36.8","96.0","883.2","SimilartoDesktopGTX560Ti","12","4.5"
