"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection","InterfaceHTMLCollection"
"DOM1","length","7.0","?","1.0","?","?","1.0"
"DOM1","item()","7.0","?","1.0","?","?","1.0"
"DOM1","namedItem()","7.0","?","1.0","?","?","1.0"
"InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection","InterfaceHTMLOptionsCollection"
"DOM2","length","?","?","1.0","?","?","2.0"
"DOM2","item()","?","?","1.0","?","?","2.0"
"DOM2","namedItem()","?","?","1.0","?","?","2.0"
"InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument","InterfaceHTMLDocument"
"DOM1","domain","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","URL","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","body","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","images","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","applets","4.0","Yes","1.0","Yes","?","1.0"
"DOM1","title","3.0","Yes","1.0","Yes","?","1.0"
"DOM1","3.0","referrer","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","links","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","forms","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","anchors","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","cookie","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","open()","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","close()","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","write()","?","Yes","1.0","Yes","1.0"
"DOM1","3.0","writeln()","?","Yes","1.0","Yes","1.0"
"DOM1","getElementsByName()","Yes","?","1.0","Yes","?","1.0"
"InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement","InterfaceHTMLElement"
"DOM1","id","4.0","Yes","1.0","?","?","1.0"
"DOM1","title","4.0","Yes","1.0","?","?","1.0"
"DOM1","lang","4.0","Yes","1.0","?","?","1.0"
"DOM1","className","4.0","Yes","1.0","?","?","1.0"
"DOM1","dir","5.0","Yes","1.0","?","?","1.0"
"InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement","InterfaceHTMLHtmlElement"
"DOM1","version","6.0","?","1.0","?","?","2.0"
"InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement","InterfaceHTMLHeadElement"
