"","MPU","MT-32","GM","GS","XGlevel1","XGlevel2","XGlevel3","GMlevel2","XGlite"
"Entrydate","1984","1987","1991","1991","1994","1997","1998","1999","2002"
"Organization","Roland","Roland","JMSC(AMEI)MMA","Roland","Yamaha","Yamaha","Yamaha","MMA","Yamaha"
"Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements","Minimumequipmentrequirements"
"Simultaneousmelodicvoices","","8+combined(upto32partials)","16","16","32combined","64combined","128combined","16","32combined"
"Simultaneouspercussionvoices","","8+combined(upto32partials)","8","8","32combined","64combined","128combined","16","32combined"
"MIDImelodicchannels","","8","15","15","16combined","32combined(on2ports)","64combined(on4ports)","14","16combined"
"Rhythm/percussionchannels","","1","1(#10)","1","16combined","32combined(on2ports)","64combined(on4ports)","2(#10&#11)","16combined"
"Channelrecommendations","","","#10:drums","","#1:melody;#2:melody(duet);#3:bass;#4:pad;#5:riff;#10:drums","#1:melody;#2:melody(duet);#3:bass;#4:pad;#5:riff;#10:drums","#1:melody;#2:melody(duet);#3:bass;#4:pad;#5:riff;#10:drums","",""
"Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable","Soundsbanksavailable"
"Melodicinstruments","","128","128","226","480","1074","1149","256","360"
"Drumkits","","1","1","8+1SFXkit","9+2SFXkits","34+2SFXkits","35+2SFXkits","9","12kits"
"Drumsoundsperkit","","30","47","61","72","72","72","61","53"
"Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable","Controlsavailable"
"SpecialCC","","2","6(MT32+4)","","","","","6(GM)",""
"ParametriceffectCC","","4","5","16(GM+11)","51(GM+46)","51(GM+46)","51(GM+46)","12(GM+7)",""
"RPNs","","0","5","","","","","6(GM+1)",""
"SysExmessages","","","2","","","","","14",""
